Event name,Date,Start Time,End Time,Artists,Venue,Event URL,Number of guests attending
Eco Fest,2020-07-12T00:00:00.000,2020-07-12T18:00:00.000,2020-07-14T06:30:00.000,"Frequency Shifter, nebbieri, Generali Minerali, Audio Space, Trotsky, LEVS, Mordecai, Mtvare, Alex T",Turtle Lake,/events/1411935,1
Eco Fest,2020-07-12T00:00:00.000,2020-07-12T18:00:00.000,2020-07-14T06:30:00.000,"Frequency Shifter, nebbieri, Generali Minerali, Audio Space, Trotsky, LEVS, Mordecai, Mtvare, Alex T",Turtle Lake,/events/1411935,1
Gio Shengelia • Ika • Usherenko,2020-07-18T00:00:00.000,2020-07-18T23:00:00.000,2020-07-19T09:00:00.000,"Gio Shengelia, Usherenko",Mtkvarze,/events/1418589,1
Visual Summer Party,2020-07-19T00:00:00.000,2020-07-19T21:00:00.000,2020-07-20T06:00:00.000,"Hesque, Razhden",Parampa,/events/1411685,3
Millenials: Open Air Session,2020-07-23T00:00:00.000,2020-07-23T23:59:00.000,2020-07-24T12:00:00.000,"AMIR YAR, Downwell, Clinical Hates, Mova",Underwheel Club,/events/1415863,2
Dedaena Bar - 28 - 1 Jul / Aug,2020-07-28T00:00:00.000,2020-07-28T22:00:00.000,2020-08-01T04:00:00.000,"Le Vancho, Daniel Berhane",Dedaena Bar,/events/1423130,1
Dedaena Bar - 28 - 1 Jul / Aug,2020-07-28T00:00:00.000,2020-07-28T22:00:00.000,2020-08-01T04:00:00.000,"Le Vancho, Daniel Berhane",Dedaena Bar,/events/1423130,1
Dedaena Bar - 28 - 1 Jul / Aug,2020-07-28T00:00:00.000,2020-07-28T22:00:00.000,2020-08-01T04:00:00.000,"Le Vancho, Daniel Berhane",Dedaena Bar,/events/1423130,1
RED Alert Nacht VOL.2,2020-07-31T00:00:00.000,2020-07-31T23:00:00.000,2020-08-01T10:00:00.000,"Frequency Shifter, Clinical Hates",Underwheel Club,/events/1418439,3
Dedaena Bar - 28 - 1 Jul / Aug,2020-07-28T00:00:00.000,2020-07-28T22:00:00.000,2020-08-01T04:00:00.000,"Le Vancho, Daniel Berhane",Dedaena Bar,/events/1423130,1
Eco Fest,2020-07-12T00:00:00.000,2020-07-12T18:00:00.000,2020-07-14T06:30:00.000,"Frequency Shifter, nebbieri, Generali Minerali, Audio Space, Trotsky, LEVS, Mordecai, Mtvare, Alex T",Turtle Lake,/events/1411935,1
Eco Fest,2020-07-12T00:00:00.000,2020-07-12T18:00:00.000,2020-07-14T06:30:00.000,"Frequency Shifter, nebbieri, Generali Minerali, Audio Space, Trotsky, LEVS, Mordecai, Mtvare, Alex T",Turtle Lake,/events/1411935,1
Gio Shengelia • Ika • Usherenko,2020-07-18T00:00:00.000,2020-07-18T23:00:00.000,2020-07-19T09:00:00.000,"Gio Shengelia, Usherenko",Mtkvarze,/events/1418589,1
Visual Summer Party,2020-07-19T00:00:00.000,2020-07-19T21:00:00.000,2020-07-20T06:00:00.000,"Hesque, Razhden",Parampa,/events/1411685,3
Millenials: Open Air Session,2020-07-23T00:00:00.000,2020-07-23T23:59:00.000,2020-07-24T12:00:00.000,"AMIR YAR, Downwell, Clinical Hates, Mova",Underwheel Club,/events/1415863,2
Dedaena Bar - 28 - 1 Jul / Aug,2020-07-28T00:00:00.000,2020-07-28T22:00:00.000,2020-08-01T04:00:00.000,"Le Vancho, Daniel Berhane",Dedaena Bar,/events/1423130,1
Dedaena Bar - 28 - 1 Jul / Aug,2020-07-28T00:00:00.000,2020-07-28T22:00:00.000,2020-08-01T04:00:00.000,"Le Vancho, Daniel Berhane",Dedaena Bar,/events/1423130,1
Dedaena Bar - 28 - 1 Jul / Aug,2020-07-28T00:00:00.000,2020-07-28T22:00:00.000,2020-08-01T04:00:00.000,"Le Vancho, Daniel Berhane",Dedaena Bar,/events/1423130,1
RED Alert Nacht VOL.2,2020-07-31T00:00:00.000,2020-07-31T23:00:00.000,2020-08-01T10:00:00.000,"Frequency Shifter, Clinical Hates",Underwheel Club,/events/1418439,3
Dedaena Bar - 28 - 1 Jul / Aug,2020-07-28T00:00:00.000,2020-07-28T22:00:00.000,2020-08-01T04:00:00.000,"Le Vancho, Daniel Berhane",Dedaena Bar,/events/1423130,1
Millenials: Open Air Session,2020-07-23T00:00:00.000,2020-07-23T23:59:00.000,2020-07-24T12:00:00.000,"AMIR YAR, Downwell, Clinical Hates, Mova",Underwheel Club,/events/1415863,2
Dedaena Bar - 28 - 1 Jul / Aug,2020-07-28T00:00:00.000,2020-07-28T22:00:00.000,2020-08-01T04:00:00.000,"Le Vancho, Daniel Berhane",Dedaena Bar,/events/1423130,1
Dedaena Bar - 28 - 1 Jul / Aug,2020-07-28T00:00:00.000,2020-07-28T22:00:00.000,2020-08-01T04:00:00.000,"Le Vancho, Daniel Berhane",Dedaena Bar,/events/1423130,1
Dedaena Bar - 28 - 1 Jul / Aug,2020-07-28T00:00:00.000,2020-07-28T22:00:00.000,2020-08-01T04:00:00.000,"Le Vancho, Daniel Berhane",Dedaena Bar,/events/1423130,1
RED Alert Nacht VOL.2,2020-07-31T00:00:00.000,2020-07-31T23:00:00.000,2020-08-01T10:00:00.000,"Frequency Shifter, Clinical Hates",Underwheel Club,/events/1418439,3
