Event name,Date,Start Time,End Time,Artists,Venue,Event URL,Number of guests attending
Sit and Listen,2021-10-22T00:00:00.000,2021-10-22T20:00:00.000,2021-10-23T23:00:00.000,Sasha Nevolin,Prinz Bar,/events/1475344,1
Sit and Listen,2021-10-22T00:00:00.000,2021-10-22T20:00:00.000,2021-10-23T23:00:00.000,Sasha Nevolin,Prinz Bar,/events/1475344,1
Generali Minerali / DJ Sense,2021-10-28T00:00:00.000,2021-10-28T22:00:00.000,2021-10-29T06:00:00.000,Generali Minerali,TES,/events/1464896,13
Sneaker - All Night Long,2021-10-29T00:00:00.000,2021-10-29T17:30:00.000,2021-10-29T23:00:00.000,Sneaker,Left Bank,/events/1476235,1
Sit and Listen,2021-10-22T00:00:00.000,2021-10-22T20:00:00.000,2021-10-23T23:00:00.000,Sasha Nevolin,Prinz Bar,/events/1475344,1
Sit and Listen,2021-10-22T00:00:00.000,2021-10-22T20:00:00.000,2021-10-23T23:00:00.000,Sasha Nevolin,Prinz Bar,/events/1475344,1
Generali Minerali / DJ Sense,2021-10-28T00:00:00.000,2021-10-28T22:00:00.000,2021-10-29T06:00:00.000,Generali Minerali,TES,/events/1464896,13
Sneaker - All Night Long,2021-10-29T00:00:00.000,2021-10-29T17:30:00.000,2021-10-29T23:00:00.000,Sneaker,Left Bank,/events/1476235,1
Sit and Listen,2021-10-22T00:00:00.000,2021-10-22T20:00:00.000,2021-10-23T23:00:00.000,Sasha Nevolin,Prinz Bar,/events/1475344,1
Sit and Listen,2021-10-22T00:00:00.000,2021-10-22T20:00:00.000,2021-10-23T23:00:00.000,Sasha Nevolin,Prinz Bar,/events/1475344,1
Generali Minerali / DJ Sense,2021-10-28T00:00:00.000,2021-10-28T22:00:00.000,2021-10-29T06:00:00.000,Generali Minerali,TES,/events/1464896,13
Sneaker - All Night Long,2021-10-29T00:00:00.000,2021-10-29T17:30:00.000,2021-10-29T23:00:00.000,Sneaker,Left Bank,/events/1476235,1
Sit and Listen,2021-10-22T00:00:00.000,2021-10-22T20:00:00.000,2021-10-23T23:00:00.000,Sasha Nevolin,Prinz Bar,/events/1475344,1
Sit and Listen,2021-10-22T00:00:00.000,2021-10-22T20:00:00.000,2021-10-23T23:00:00.000,Sasha Nevolin,Prinz Bar,/events/1475344,1
Generali Minerali / DJ Sense,2021-10-28T00:00:00.000,2021-10-28T22:00:00.000,2021-10-29T06:00:00.000,Generali Minerali,TES,/events/1464896,13
Sneaker - All Night Long,2021-10-29T00:00:00.000,2021-10-29T17:30:00.000,2021-10-29T23:00:00.000,Sneaker,Left Bank,/events/1476235,1
Sit and Listen,2021-10-22T00:00:00.000,2021-10-22T20:00:00.000,2021-10-23T23:00:00.000,Sasha Nevolin,Prinz Bar,/events/1475344,1
Sit and Listen,2021-10-22T00:00:00.000,2021-10-22T20:00:00.000,2021-10-23T23:00:00.000,Sasha Nevolin,Prinz Bar,/events/1475344,1
Generali Minerali / DJ Sense,2021-10-28T00:00:00.000,2021-10-28T22:00:00.000,2021-10-29T06:00:00.000,Generali Minerali,TES,/events/1464896,13
Sneaker - All Night Long,2021-10-29T00:00:00.000,2021-10-29T17:30:00.000,2021-10-29T23:00:00.000,Sneaker,Left Bank,/events/1476235,1
Sit and Listen,2021-10-22T00:00:00.000,2021-10-22T20:00:00.000,2021-10-23T23:00:00.000,Sasha Nevolin,Prinz Bar,/events/1475344,1
Sit and Listen,2021-10-22T00:00:00.000,2021-10-22T20:00:00.000,2021-10-23T23:00:00.000,Sasha Nevolin,Prinz Bar,/events/1475344,1
Generali Minerali / DJ Sense,2021-10-28T00:00:00.000,2021-10-28T22:00:00.000,2021-10-29T06:00:00.000,Generali Minerali,TES,/events/1464896,13
Sneaker - All Night Long,2021-10-29T00:00:00.000,2021-10-29T17:30:00.000,2021-10-29T23:00:00.000,Sneaker,Left Bank,/events/1476235,1
Generali Minerali / DJ Sense,2021-10-28T00:00:00.000,2021-10-28T22:00:00.000,2021-10-29T06:00:00.000,Generali Minerali,TES,/events/1464896,13
Sneaker - All Night Long,2021-10-29T00:00:00.000,2021-10-29T17:30:00.000,2021-10-29T23:00:00.000,Sneaker,Left Bank,/events/1476235,1
Generali Minerali / DJ Sense,2021-10-28T00:00:00.000,2021-10-28T22:00:00.000,2021-10-29T06:00:00.000,Generali Minerali,TES,/events/1464896,13
Sneaker - All Night Long,2021-10-29T00:00:00.000,2021-10-29T17:30:00.000,2021-10-29T23:00:00.000,Sneaker,Left Bank,/events/1476235,1
Sneaker - All Night Long,2021-10-29T00:00:00.000,2021-10-29T17:30:00.000,2021-10-29T23:00:00.000,Sneaker,Left Bank,/events/1476235,1
