Event name,Date,Start Time,End Time,Artists,Venue,Event URL,Number of guests attending
Aprili- Denivarlevy / Jayshatteredstone,2023-06-01T00:00:00.000,2023-06-01T23:00:00.000,2023-06-02T05:00:00.000,,Aprili,/events/1717543,0
Bero b2b Keta The Nepo Babiez 5nipss  Orbita Rafaela Toxikana,2023-06-01T00:00:00.000,2023-06-01T23:59:00.000,2023-06-02T08:00:00.000,,Mtkvarze,/events/1716188,2
Weekly Program,2023-05-30T00:00:00.000,2023-05-30T21:00:00.000,2023-06-05T02:00:00.000,,Dedaena,/events/1716256,1
LUST ± GARDEN: NO:ID Ⅰ LUKA AMKOLADZE Ⅰ IKA,2023-06-01T00:00:00.000,2023-06-01T23:00:00.000,2023-06-02T10:00:00.000,Ika (GE),TES,/events/1716380,1
LOVEBAR: OPEN DECKS - SALAH SADEQ B2B HANI J - VAKO T,2023-06-01T00:00:00.000,2023-06-01T20:00:00.000,2023-06-03T04:00:00.000,,Love Bar,/events/1715896,0
Aprili -Rene / Zurkin,2023-06-02T00:00:00.000,2023-06-02T23:00:00.000,2023-06-03T05:00:00.000,Zurkin,Aprili,/events/1717536,0
KHIDI 中 7 YEARS ANNIVERSARY: Oscar Mulero ❚ Boris ❚ Pablo Bozzi ❚ Yanamaste ❚ Neux,2023-06-02T00:00:00.000,2023-06-02T23:59:00.000,2023-06-03T11:30:00.000,"Oscar Mulero, Boris, Yanamaste, Pablo Bozzi, NEUX, Puritan",KHIDI,/events/1713068,22
Clubnight: Object Blue ✦ Dali ✦ Esi ✦ Sickdatired,2023-06-02T00:00:00.000,2023-06-02T22:00:00.000,2023-06-03T08:00:00.000,"object blue, Dali (GE), Esi (De Re)",Left Bank,/events/1712744,15
Bassiani / Horoom,2023-06-02T00:00:00.000,2023-06-02T23:59:00.000,2023-06-03T12:00:00.000,"Ndrx, Rødhåd, Zesknel, Zitto, Alinka, Kvanchi, Massimiliano Pagliara",Bassiani,/events/1713705,12
ECHONOMIST at SUZIE WONG,2023-06-02T00:00:00.000,2023-06-02T23:00:00.000,2023-06-03T06:00:00.000,,Suzie Wong DJ Bar,/events/1710907,9
Decoder: Âme b2b Dixon - Gio Shengelia - Zurkin,2023-06-02T00:00:00.000,2023-06-02T23:59:00.000,2023-06-03T12:00:00.000,"Âme, Dixon, Gio Shengelia, Zurkin",Ciskari,/events/1718847,1
Weekly Program,2023-05-30T00:00:00.000,2023-05-30T21:00:00.000,2023-06-05T02:00:00.000,,Dedaena,/events/1716256,1
NOT Radio x Plant Lovers,2023-06-02T00:00:00.000,2023-06-02T19:00:00.000,2023-06-02T23:00:00.000,,TBA - Plant Lovers,/events/1718408,0
LOVEBAR: OPEN DECKS - SALAH SADEQ B2B HANI J - VAKO T,2023-06-01T00:00:00.000,2023-06-01T20:00:00.000,2023-06-03T04:00:00.000,,Love Bar,/events/1715896,0
Small Room: Yves • Bacho • Ika,2023-06-02T00:00:00.000,2023-06-02T23:00:00.000,2023-06-03T11:00:00.000,"Bacho, Ika (GE)",Mtkvarze,/events/1716190,0
TES ± GARDEN: Ash Scholem Ⅰ Generali Minerali Ⅰ fjaartaf Ⅰ JASPER JOHNS,2023-06-02T00:00:00.000,2023-06-02T23:00:00.000,2023-06-03T10:00:00.000,"Ash Scholem, Generali Minerali, fjaartaf",TES,/events/1716401,0
Aprili x Small moves,2023-06-03T00:00:00.000,2023-06-03T15:00:00.000,2023-06-04T05:00:00.000,"ISH, MANNY, Cyborg George, Usherenko, Ika (GE), Parna, Gigi, Deka",Aprili,/events/1718794,0
"Clubnight: Tevz B2B Routes Not Roots, Kraumur, Umbruter",2023-06-03T00:00:00.000,2023-06-03T22:00:00.000,2023-06-04T08:00:00.000,"Routes Not Roots, Kraumur",Left Bank,/events/1713409,17
