Event name,Date,Start Time,End Time,Artists,Venue,Event URL,Number of guests attending
HOUSE OF HIIT,2022-09-01T00:00:00.000,2022-09-01T18:00:00.000,2022-09-01T22:00:00.000,,Funkhaus Berlin,/events/1575020,570
"OPEN AIR - PORZELLAN BAR „Thursday, I'm in LOVE' with DJ Spit, Mac Declos, Narciss",2022-09-01T00:00:00.000,2022-09-01T16:00:00.000,2022-09-02T06:00:00.000,"DJ Spit, Venetta, Mac Declos, Narciss, Indigo Plateaux, Dhia",Else,/events/1574214,476
Guide to the Galaxy,2022-09-01T00:00:00.000,2022-09-01T21:30:00.000,2022-09-02T07:00:00.000,"Bavaresco, David Braun, Luca Nova, Apoena",Christa Kupfer,/events/1578047,242
Variety with Pauli Pocket // Katzengold // TraumaMia // and many more,2022-09-01T00:00:00.000,2022-09-01T23:00:00.000,2022-09-02T10:00:00.000,"Emel White, Katzengold, Pauli Pocket, Robine, Tobi Cross, Nils Herres, TraumaMia, WIEK",Renate,/events/1574375,101
"OECUS w/ 18:18, Cecilia Tosh, Juri Heidemann, Lyric",2022-09-01T00:00:00.000,2022-09-01T23:59:00.000,2022-09-02T08:00:00.000,"18:18, Cecilia Tosh, Juri Heidemann, Lyric",://about blank,/events/1568366,98
WU's JAZZCLUB feat. Kamaal Williams *live* & Dorian Concept *live,2022-09-01T00:00:00.000,2022-09-01T19:30:00.000,2022-09-01T23:00:00.000,"Kamaal Williams, Dorian Concept",Gretchen,/events/1532054,62
BODEGA & SHELTER PLEASURE TENDERNESS Exhibition - Techno - Playparty,2022-08-31T00:00:00.000,2022-08-31T16:00:00.000,2022-09-02T08:00:00.000,,KitKatClub,/events/1575758,55
Operate UKG pres. PJ Bridger,2022-09-01T00:00:00.000,2022-09-01T22:00:00.000,2022-09-02T06:00:00.000,"DJ Betska, Captain Brexit, Ben Mono, TMSN",Paloma,/events/1569325,42
"ENRGY Thursday w/Arkan, Frederic + more ",2022-09-01T00:00:00.000,2022-09-01T23:00:00.000,2022-09-02T08:00:00.000,"Arkan, Frederic., L-AUX",OST,/events/1577635,42
DISTINKT pres. slin Invites,2022-09-01T00:00:00.000,2022-09-01T22:00:00.000,2022-09-02T06:00:00.000,"Carmen Electro, Chontane, kyly, slin",ÆDEN,/events/1573922,36
"Disco Noir Collective Release Party: Dima Kosmetika, Hello I'm Fine, Kirap",2022-09-01T00:00:00.000,2022-09-01T23:00:00.000,2022-09-02T05:00:00.000,"Dima Kosmetika, Kirap",Bulbul Berlin,/events/1570625,26
d.OHA!se #13 / Techno,2022-09-01T00:00:00.000,2022-09-01T23:00:00.000,2022-09-04T08:00:00.000,"ED2000, DAV3",Der Weiße Hase,/events/1577900,34
Disko Volante with Nikklaas & Carl Bergé,2022-09-01T00:00:00.000,2022-09-01T21:00:00.000,2022-09-02T03:00:00.000,"Nikklaas, Carl Bergé",Marktlokal Klub,/events/1571623,19
Thursdate: Partisan X OPIA Records,2022-09-01T00:00:00.000,2022-09-01T23:00:00.000,2022-09-02T09:00:00.000,"Anthea, Audri, Evan Baggs, Giammarco Orsini, Michelle",Watergate,/events/1570821,17
Globus Invites with Julion De 'Angelo,2022-09-01T00:00:00.000,2022-09-01T23:59:00.000,2022-09-02T08:30:00.000,"Julion De'Angelo, Matthias Vogt",Tresor / Globus,/events/1569687,17
THE UNKNOWN,2022-09-01T00:00:00.000,2022-09-01T22:00:00.000,2022-09-02T02:00:00.000,Loutouse,Zu Mir Oder Zu Dir,/events/1570857,14
Happy Meal - Opening Party,2022-09-01T00:00:00.000,2022-09-01T23:00:00.000,2022-09-02T05:00:00.000,"Fabio River, DJ Mansito, Bijon",Mysliwska,/events/1574228,13
On Music: Shaping Dance Floors,2022-09-01T00:00:00.000,2022-09-01T20:00:00.000,2022-09-01T23:59:00.000,"DJ Ripley, Phatstoki, Playing with Knives, Sarah Farina, Phatstoki",Haus Der Kulturen Der Welt,/events/1564508,12
Step higher,2022-09-01T00:00:00.000,2022-09-01T23:00:00.000,2022-09-02T06:00:00.000,"Upzet, Squamata",Void Club,/events/1578518,10
Container,2022-09-01T00:00:00.000,2022-09-01T21:00:00.000,2022-09-02T01:00:00.000,"Container, Philipp Otterbach",Zur Klappe,/events/1578316,7
Dark Matter Sommerlights x Acidfinky / Kotelett,2022-09-01T00:00:00.000,2022-09-01T20:00:00.000,2022-09-01T23:00:00.000,"Acidfinky, Kotelett",Dark Matter Berlin,/events/1567521,6
Meltdown,2022-09-01T00:00:00.000,2022-09-01T15:00:00.000,2022-09-02T07:00:00.000,"Lowris, Tripmastaz, Maik Yells, Danni B, David Delgado",Club der Visionaere,/events/1572537,5
electronic.thursday mit brocki balboa,2022-09-01T00:00:00.000,2022-09-01T18:00:00.000,2022-09-02T06:00:00.000,brocki balboa,Minimal Bar,/events/1572822,5
"Morph with Vale Colvin, Fanfarrosa, Gustavo, Oscar Rocha, Dirty Lemon",2022-09-01T00:00:00.000,2022-09-01T22:00:00.000,2022-09-02T06:00:00.000,"Vale Colvin, Fanfarrosa, Oscar Rocha, Dirty Lemon",Crack Bellmer,/events/1575819,5
FREE ENTRY Zapzarap,2022-09-01T00:00:00.000,2022-09-01T18:00:00.000,2022-09-03T23:59:00.000,"Lowfeli, DJ Pacifier, Carne",Flutgraben,/events/1576724,5
Donnerdogge,2022-09-01T00:00:00.000,2022-09-01T23:59:00.000,2022-09-02T13:00:00.000,"Anna Schreit, Najeh, Phil2, Senoo",Golden Gate,/events/1575892,3
Widows x Sameheads,2022-09-01T00:00:00.000,2022-09-01T21:00:00.000,2022-09-02T05:00:00.000,CUNT REMEMBER,Sameheads,/events/1577830,3
Relax Your Soul,2022-09-01T00:00:00.000,2022-09-01T18:00:00.000,2022-09-02T01:00:00.000,,Solar,/events/1572456,1
Roaring 20s: Berlin Art Festival,2022-09-01T00:00:00.000,2022-09-01T20:00:00.000,2022-09-02T01:30:00.000,"Tosha, Special Guest (US), Dom Hyuga",Marie Antoinette,/events/1574811,1
Lust,2022-09-01T00:00:00.000,2022-09-01T19:00:00.000,2022-09-01T23:59:00.000,"Vova Klk, VOVA, Nakosta Yoris",Lustbar,/events/1579495,1
Gorgette + Areamann,2022-09-01T00:00:00.000,2022-09-01T19:00:00.000,2022-09-01T23:30:00.000,,Loophole,/events/1578086,0
Ori Moto (DJ set),2022-09-01T00:00:00.000,2022-09-01T22:00:00.000,2022-09-02T02:00:00.000,"Ori Moto, Ray Mann",Weser 58,/events/1579212,0
Tausend Electronica I Just Lauren,2022-09-01T00:00:00.000,2022-09-01T21:00:00.000,2022-09-04T04:00:00.000,Just Lauren,Tausend,/events/1579275,0
Outworld (sold out),2022-09-02T00:00:00.000,2022-09-02T23:00:00.000,2022-09-03T09:00:00.000,"KlangKuenstler, Daria Kolosova, DJ Hyperdrive, Karl Schwarz, TONI BA, CRYME, Kashpitzky, LYZA",OST,/events/1570840,1683
