Event name,Date,Start Time,End Time,Artists,Venue,Event URL,Number of guests attending
Oster Klubnacht,2018-03-31T00:00:00.000,2018-03-31T23:59:00.000,2018-04-03T12:00:00.000,"Adam Beyer, Developer, DVS1, Efdemin, Fiedel, Function, Steve Bicknell, Vatican Shadow, Volvox, Âme, Antal, Discodromo, Gerd Janson, Honey Dijon, Jackmaster, Jason Kendig, Jennifer Cardini, Octo Octa, Prins Thomas, Soundstream, Todd Edwards, Tom Trago",Berghain | Panorama Bar | Säule,/events/1071081,364
Elrow - Psychedelic Trip,2018-04-01T00:00:00.000,2018-04-01T22:00:00.000,2018-04-02T08:00:00.000,"Matthias Tanzmann, Melé, Emanuel Satie, Andres Campo, Toni Varga",Columbiahalle,/events/1050212,338
We Are Not Alone by Ellen Allien,2018-04-01T00:00:00.000,2018-04-01T22:00:00.000,2018-04-02T22:00:00.000,"Ellen Allien, Apparat, Shlømo, Blind Observatory, DJ T-1000, Phon.o, Jacopo, Maxime IKO, p.leone, Alinka, Kiki",Griessmuehle,/events/1072871,197
Lackrec vs. Magic Power,2018-04-01T00:00:00.000,2018-04-01T23:59:00.000,2018-04-02T10:00:00.000,"Skee Mask, Victor (DE), D-IX, SBC, Back To The Lab, Gian, Actefy, Recursion, Rifts, J.Manuel, Jonas Palzer, Attila, Menki, DJ Spit",://about blank,/events/1072800,99
"Fondue w. D. Carbone, Clara Cuvé, Bacchuspu$ha, Lammät, SIMA, Tim Tazelaar, GLIA & More",2018-03-31T00:00:00.000,2018-03-31T22:00:00.000,2018-04-02T00:00:00.000,"D. Carbone, Clara Cuvé, Bacchuspu$ha, Lammät, SIMA, GLIA, Dan Beaven, Eff_El, Enchanted Rhythms",Loftus Hall,/events/1071027,91
"La Maison De La Lune /w. Dana Ruh, Maayan Nidam, Eli Verveine and Many More",2018-04-01T00:00:00.000,2018-04-01T23:00:00.000,2018-04-02T12:00:00.000,"Eli Verveine, Maayan Nidam, Per Hammar, Parallax Deep, Maya Lourenco, Mashkov, Ferro, Dana Ruh, Janina, Alessia Ceruti, Binto & Henny, Binto, Eveline Fink, Gel Abril",Renate,/events/1072873,89
"Easter Sunday with Txus Rosado, Purita D, Alexis & Mario Urien",2018-04-01T00:00:00.000,2018-04-01T23:59:00.000,2018-04-02T10:00:00.000,"Purita D, Gustavo, Mario Urien",Chalet,/events/1085430,66
GMF - Easter Sunday Special,2018-04-01T00:00:00.000,2018-04-01T23:00:00.000,2018-04-02T08:00:00.000,"Chris Bekker, Marion Cobretti, COBRETTI, Alejandro Alvarez, Katy Bähm",1 Stralau,/events/1075152,62
Easter Sasomodi - Patrice Bäumel / Patrick Chardronnet / Wareika / Anëk / Chymera / Mira,2018-03-31T00:00:00.000,2018-03-31T23:59:00.000,2018-04-03T12:00:00.000,"Mutlu, Patrick Chardronnet, Anek, Ena Cosovic, Wareika, Patrice Bäumel, Chymera, Pauli Pocket, Mila Stern, Peter Schumann, miAs, Wasn & Wunderwaffel, Heimlich Knüller, The Sorry Entertainers, Mental Carnival, Casimir, El Mundo, Marco Tegui, Canson, Trippin Jaguar, DJAMAL, Plattenali, NINZE & OKAXY, Mira, Joshua Jesse, Luca Musto, David Benjamin, Coss",Kater Blau,/events/1074465,47
Time After Space,2018-04-01T00:00:00.000,2018-04-01T23:59:00.000,2018-04-02T16:00:00.000,"Sevensol, Wilhelm, HW Rhapsody, Phonatic",Golden Gate,/events/1072582,44
Eierschaukeln 'Return of the Dark Bunnys' /With Mousse T.,2018-04-01T00:00:00.000,2018-04-01T23:59:00.000,2018-04-02T10:00:00.000,"Mousse T., Aquarius Heaven, Tom Clark, Red Robin, Joshua Jesse, Marvin Jam",Ritter Butzke,/events/1086055,44
Birgits Frühlingserwachen Tag 3,2018-04-01T00:00:00.000,2018-04-01T23:00:00.000,2018-04-02T10:00:00.000,"Maryisonacid, Dauwd, Sertac Kazan, Sanja Lapsin, Polytoxikomanie, Bazeja, Memo.",Birgit,/events/1089346,41
Oster Sonntag,2018-04-01T00:00:00.000,2018-04-01T20:00:00.000,2018-04-02T12:00:00.000,"Andy Kolwes, Cedric Dekowski, Felix Reifenberg, Dan Andrei, Martyné, Bodin, Rhadoo, Cabanne, Laylla Dane",Hoppetosse,/events/1080187,40
Poly - Motion,2018-04-01T00:00:00.000,2018-04-01T12:00:00.000,2018-04-01T22:00:00.000,,://about blank,/events/1086276,40
Herrensauna zu Ostern,2018-04-01T00:00:00.000,2018-04-01T18:00:00.000,2018-04-02T12:00:00.000,"The Empire Line, Deniro, Ciarra Black, Hyperaktivist, Ena, CEM, Cadency",Tresor / Globus,/events/1087291,40
Double Impact,2018-04-01T00:00:00.000,2018-04-01T23:59:00.000,2018-04-02T10:00:00.000,Tanith,Lokschuppen Berlin,/events/1063512,34
Hasipops Schlagerparade - Patrice Bäumel / Wareika / Chymera / Mira / Ninze & Okaxy,2018-04-01T00:00:00.000,2018-04-01T12:00:00.000,2018-04-03T12:00:00.000,"Wareika, Patrice Bäumel, Chymera, Pauli Pocket, Mila Stern, Peter Schumann, Canson, Trippin Jaguar, Plattenali, NINZE & OKAXY, Mira, Joshua Jesse, Luca Musto, David Benjamin, Coss, Wasn & Wunderwaffel, Heimlich Knüller, The Sorry Entertainers, Mental Carnival",Kater Blau,/events/1074470,34
Safe Trippin',2018-03-31T00:00:00.000,2018-03-31T23:59:00.000,2018-04-01T23:59:00.000,"Artis, Max Abysmal, Dazion",OHM,/events/1079895,34
"Pachamama with Inka, Luu Sierra & Maru Ten, Special Guest",2018-04-01T00:00:00.000,2018-04-01T20:00:00.000,2018-04-02T07:00:00.000,"Luu Sierra, Maru Ten, Caapi El Mesti",Crack Bellmer,/events/1080639,18
Kom.Bass Showcase,2018-04-01T00:00:00.000,2018-04-01T23:59:00.000,2018-04-02T08:00:00.000,"A.D.H.S., Barnabass, Katzengold",Humboldthain Club,/events/1084572,17
Voltage,2018-04-01T00:00:00.000,2018-04-01T23:00:00.000,2018-04-02T10:00:00.000,"André Pillar, Memo., K.EULE",AVA Club,/events/1085015,17
Easterbunny with Walram,2018-04-01T00:00:00.000,2018-04-01T19:00:00.000,2018-04-02T04:00:00.000,,Promenaden Eck,/events/1075814,13
Eggstase 54 - The BIG Holiday Bang,2018-04-01T00:00:00.000,2018-04-01T22:30:00.000,2018-04-02T08:00:00.000,"Oliver Liefke, Andi de Luxe",Süss War Gestern,/events/1087380,11
ॐ Basanta ॐ,2018-04-01T00:00:00.000,2018-04-01T23:00:00.000,2018-04-02T10:00:00.000,"Portal - ZA, DJ Jordan, Till Krimsen, Dr Double U",ASeven,/events/1085111,10
Darlings,2018-04-01T00:00:00.000,2018-04-01T10:00:00.000,2018-04-01T22:00:00.000,"Luigi Rossi, Dennis Calmer, Sam Rein",Golden Gate,/events/1073689,9
no:Bedience,2018-04-01T00:00:00.000,2018-04-01T23:00:00.000,2018-04-02T10:00:00.000,"Adolfina Fuck, Anselmus, Bouba (DE), Liesa, Nina Berg, Punani, s.ra",Mensch Meier,/events/1088978,8
The Mystic Rose - Tribut to PAN in Koh Phangan,2018-04-01T00:00:00.000,2018-04-01T23:00:00.000,2018-04-02T12:00:00.000,,KitKatClub,/events/1060271,7
Cool Beans,2018-04-01T00:00:00.000,2018-04-01T23:00:00.000,2018-04-02T07:00:00.000,Mimi,Bohnengold,/events/1080338,7
Prostern,2018-03-29T00:00:00.000,2018-03-29T23:59:00.000,2018-04-03T10:00:00.000,"ALXJ, Ante Perry, Arkadia Alpha, AudioBros, Barnabass, BLANCAh, Daniel Jaeger, David Silver, Denite, Dilby, DJAMAL, DJ Lion, Edgar Peng, Elias Doré, Emex, George Apergis, Empro, Fidelity Kastrow, Foolik, Franz!, Gilbert Martini, hypnorex, Iris Menza, Jamie Anderson, Jan Oberlaender, Jeremy Reinhard, Jeremy Reinhard, Michi Lipp, Jonty Skrufff, Leon Kostner, Konrad Ritter, Lydia Eisenblätter, Kon Janson, Mario Urien, Martin Ka, Mijk van Dijk, Mike Book, Moji, Moog Conspiracy, Niklaus Katzorke, Polytoxikomanie, Reign Of Time, Robot Bennett, Sarah Wild, Schmitzkatzki, Sebastian Klenk, Struppie, Thomas Stieler, Toman, Unspent, Warte:mal, Yannick Robyns, Zaphod Salmon",Sisyphos,/events/1091549,7
Funk Freaks Meeting in Berlin at Kotti Monarch 2018,2018-04-01T00:00:00.000,2018-04-01T22:00:00.000,2018-04-02T06:00:00.000,Valentino 45,Monarch,/events/1086142,6
Creamcake,2018-04-01T00:00:00.000,2018-04-01T23:59:00.000,2018-04-02T06:00:00.000,"DJ Lycox, Crystallmess, AUCO",Südblock,/events/1090626,6
Easter Nachspiel,2018-04-01T00:00:00.000,2018-04-01T23:00:00.000,2018-04-02T08:00:00.000,,KitKatClub,/events/1076997,4
Vitamin Easter Sunnight,2018-04-01T00:00:00.000,2018-04-01T23:00:00.000,2018-04-02T10:00:00.000,"Alexander Weinstein, Anton Johnsen, Jan Ritter, Vincent Kenway, Otto Lebowski",Rosi's,/events/1080567,4
Minimalismus:   Kaan Bulak,2018-04-01T00:00:00.000,2018-04-01T15:00:00.000,2018-04-02T20:00:00.000,,arkaoda Berlin,/events/1074896,3
XXX,2018-04-01T00:00:00.000,2018-04-01T14:00:00.000,2018-04-02T12:00:00.000,,Anomalie Art Club,/events/1084127,3
"Youth Code, Imperial Black Unit, Templer, Lapse Of Reason",2018-04-01T00:00:00.000,2018-04-01T21:00:00.000,2018-04-02T05:00:00.000,"Imperial Black Unit, Templer",Urban Spree,/events/1091177,2
Osterbombe,2018-04-01T00:00:00.000,2018-04-01T23:30:00.000,2018-04-02T06:00:00.000,"Mondee, DJ Parker Lewis",Cassiopeia,/events/1061489,1
Beate Barfuß,2018-04-01T00:00:00.000,2018-04-01T18:00:00.000,2018-04-02T04:00:00.000,"ONNI, Daensen, Dora Pan, freedomB",Beate Uwe,/events/1066311,1
Footjob,2018-04-01T00:00:00.000,2018-04-01T22:00:00.000,2018-04-02T05:00:00.000,Phonk D,Paloma,/events/1081083,1
Infinite Livez presents: Rona Geffen – Live,2018-04-01T00:00:00.000,2018-04-01T22:00:00.000,2018-04-02T04:00:00.000,Infinite Livez,Eschschloraque,/events/1085933,1
Easylectro Berlin,2018-04-01T00:00:00.000,2018-04-01T18:00:00.000,2018-04-02T02:00:00.000,,Solar,/events/1089280,1
"Glorious Mono Live with Rona Geffen, Infinite Livez",2018-04-01T00:00:00.000,2018-04-01T22:00:00.000,2018-04-02T04:00:00.000,Infinite Livez,Eschschloraque,/events/1090938,1
House Of Coito // Resuerection,2018-04-01T00:00:00.000,2018-04-01T23:00:00.000,2018-04-02T07:30:00.000,Jungle Mind,Ficken 3000,/events/1091203,1
Ori Moto (aka Ray Mann) - DJ set,2018-04-01T00:00:00.000,2018-04-01T22:30:00.000,2018-04-02T02:00:00.000,"Ori Moto, Ray Mann",CoBa Bar,/events/1091310,1
Zur Klappe w./ Neele Ifz Leibniz Shtum/Hundert,2018-04-01T00:00:00.000,2018-04-01T22:00:00.000,2018-04-02T08:00:00.000,Leibniz,Zur Klappe,/events/1092614,1
"M.E.E.O & Pallida Live, with DJ Support From Son of Olof",2018-04-01T00:00:00.000,2018-04-01T01:00:00.000,2018-04-01T20:00:00.000,Pallida,TBA - Berlin,/events/1092941,0
Lazy.Sunday mit Marcel Koar,2018-04-01T00:00:00.000,2018-04-01T19:00:00.000,2018-04-02T05:00:00.000,Marcel Koar,Minimal Bar,/events/1066447,19
Oster Klubnacht,2018-03-31T00:00:00.000,2018-03-31T23:59:00.000,2018-04-03T12:00:00.000,"Adam Beyer, Developer, DVS1, Efdemin, Fiedel, Function, Steve Bicknell, Vatican Shadow, Volvox, Âme, Antal, Discodromo, Gerd Janson, Honey Dijon, Jackmaster, Jason Kendig, Jennifer Cardini, Octo Octa, Prins Thomas, Soundstream, Todd Edwards, Tom Trago",Berghain | Panorama Bar | Säule,/events/1071081,364
We Are Not Alone by Ellen Allien,2018-04-01T00:00:00.000,2018-04-01T22:00:00.000,2018-04-02T22:00:00.000,"Ellen Allien, Apparat, Shlømo, Blind Observatory, DJ T-1000, Phon.o, Jacopo, Maxime IKO, p.leone, Alinka, Kiki",Griessmuehle,/events/1072871,197
Easter Sasomodi - Patrice Bäumel / Patrick Chardronnet / Wareika / Anëk / Chymera / Mira,2018-03-31T00:00:00.000,2018-03-31T23:59:00.000,2018-04-03T12:00:00.000,"Mutlu, Patrick Chardronnet, Anek, Ena Cosovic, Wareika, Patrice Bäumel, Chymera, Pauli Pocket, Mila Stern, Peter Schumann, miAs, Wasn & Wunderwaffel, Heimlich Knüller, The Sorry Entertainers, Mental Carnival, Casimir, El Mundo, Marco Tegui, Canson, Trippin Jaguar, DJAMAL, Plattenali, NINZE & OKAXY, Mira, Joshua Jesse, Luca Musto, David Benjamin, Coss",Kater Blau,/events/1074465,47
