Event name,Date,Start Time,End Time,Artists,Venue,Event URL,Number of guests attending
Stampf,2016-07-01T00:00:00.000,2016-07-01T21:00:00.000,2016-07-02T15:00:00.000,"Tanith, Chris Schubert, Annett Gapstream, Till Krimsen, monotony, Jason Lemm, Lars Gerald, Florian Rakette",Fort Gorgast - Küstriner Vorland,/events/846226,159
Neverland,2016-07-01T00:00:00.000,2016-07-01T23:00:00.000,2016-07-02T10:00:00.000,"Dapayk, Audiojack, Daniel Steinberg, Teenage Mutants, Alfred Heinrichs, Boy Next Door, Jan Pyroman, Pascale Voltaire, Henk, Melchior Bachmann, Cem Orlow",Ritter Butzke,/events/835012,235
Birgit Defused - Outdoor and Indoor,2016-07-01T00:00:00.000,2016-07-01T19:00:00.000,2016-07-02T12:00:00.000,"Marc DePulse, Javier Logares, Twofalls, Aris Pandelis, Maik Gyver, Danny Isola, Suit Kei",Birgit,/events/849613,83
Get Perlonized,2016-07-01T00:00:00.000,2016-07-01T23:59:00.000,2016-07-02T15:00:00.000,"Daniel Bell, Sammy Dee, Spacetravel, Zip",Berghain | Panorama Bar | Säule,/events/848142,70
Om Unit,2016-07-01T00:00:00.000,2016-07-01T23:00:00.000,2016-07-02T08:00:00.000,"Om Unit, Survey, Upzet, Yoru, Tommy Lexxus",Void Club,/events/828213,53
Stimming - Alpe Lusia Album Release Tour,2016-07-01T00:00:00.000,2016-07-01T23:59:00.000,2016-07-02T11:00:00.000,"Stimming, Kollektiv Turmstrasse, Marco Resmann, Ruede Hagelstein, Patlac, Clint Stewart",Watergate,/events/849643,47
Gate-Toasted Pres.: The Donnersducks Crew,2016-07-01T00:00:00.000,2016-07-01T23:59:00.000,2016-07-02T15:00:00.000,"Marion Cobretti, Derek Marin, LtDan, Kollektiv Karpfenteich, Ady Toledano",Golden Gate,/events/849784,40
The Pack Special,2016-07-01T00:00:00.000,2016-07-01T23:59:00.000,2016-07-02T10:00:00.000,"Tobias Schmidt, The Horrorist, Dungeon Acid, Cynthia Stern, DJ Flush, Textasy",Lokschuppen Berlin,/events/845919,39
"Renates Heimkinder /w. Tigerskin, Michael Klein, Aantigen / Ntgn & More",2016-07-01T00:00:00.000,2016-07-01T23:59:00.000,2016-07-02T12:00:00.000,"Michael Klein, Sylvie Maziarz, Swam:Thing, Tigerskin, Disfunctional Disco, Jack Jenson",Renate,/events/852232,35
Dessert with Ambivalent & Lady Starlight,2016-07-01T00:00:00.000,2016-07-01T23:59:00.000,2016-07-02T10:00:00.000,"Lady Starlight, Ambivalent, Tom Peters, YANØ, Santiago Lecce, Corrie, Jay Sensuelle",://about blank,/events/848437,34
Tresor.Klubnacht,2016-07-01T00:00:00.000,2016-07-01T23:59:00.000,2016-07-02T12:00:00.000,"Kuba Sojka, Hakim Murphy, Iron Curtis, Wittes, Echoplex, D-knox, Ryan James Ford, Dan Curtin",Tresor / Globus,/events/850994,34
"Freitag mit Rommek, Dust, Baby Kruger, Francisco & Morgan Hammer",2016-07-01T00:00:00.000,2016-07-01T16:00:00.000,2016-07-02T22:00:00.000,"Rommek, Baby Kruger, Juerga, Arma, Morgan Hammer, Franz Scala, Sybil Jason, Farced, Philipp Matalla",Griessmuehle,/events/850184,32
Ragnarøk Labelnight,2016-07-01T00:00:00.000,2016-07-01T23:59:00.000,2016-07-02T12:00:00.000,"Torsten Kanzler, TKR, Patrick Arbez",Magdalena,/events/847314,31
Bambule.Berlin mit Jans3n,2016-07-01T00:00:00.000,2016-07-01T19:00:00.000,2016-07-02T07:00:00.000,,Minimal Bar,/events/845093,21
"WYS! with Robert Dietz, Peter Pixzel, Jacob Husley & More",2016-07-01T00:00:00.000,2016-07-01T23:59:00.000,2016-07-02T10:00:00.000,"Robert Dietz, Peter Pixzel, Jacob Husley, Marco Petrazzi, Luke Black",Chalet,/events/852130,15
Sleep is Commercal,2016-07-01T00:00:00.000,2016-07-01T15:00:00.000,2016-07-02T12:00:00.000,"Cem & Rg, Francesco Assenza, Andrea Ferlin, Hubble, Topper",Club der Visionaere,/events/850910,13
8bit with Gorge / Johnny D. / Steffen Deux / Junior Gee,2016-07-01T00:00:00.000,2016-07-01T23:59:00.000,2016-07-02T14:00:00.000,"Gorge, Johnny D, Steffen Deux, Junior Gee, Oliver Klostermann, K.atou",Kater Blau,/events/851540,12
Kosmonaut Sommer Garten / Freier Eintritt,2016-07-01T00:00:00.000,2016-07-01T18:00:00.000,2016-07-03T12:00:00.000,"Patryk Molinari, Jan Mir, Chris Hanke, Luis Hill, Emanate, high.co.coon, Sven Swade",Polygon Club,/events/852728,10
MM Discos,2016-07-01T00:00:00.000,2016-07-01T23:00:00.000,2016-07-02T07:00:00.000,"Moon & Mann, B-MAN",Bohnengold,/events/852780,10
Süsse Reise Tag 1,2016-07-01T00:00:00.000,2016-07-01T20:00:00.000,2016-07-02T09:00:00.000,Minigram,Süss War Gestern,/events/854208,10
"Heat Facilities with Daniel Dreier, Nils Twachtmann, Kevin Beyer, Damian.Thorn",2016-07-01T00:00:00.000,2016-07-01T20:00:00.000,2016-07-02T10:00:00.000,"Daniel Dreier, Nils Twachtmann, Damian.Thorn",[ipsə],/events/855375,10
Ring My Bellmer,2016-07-01T00:00:00.000,2016-07-01T20:00:00.000,2016-07-02T07:00:00.000,"Mike Starr, Brian Ring",Crack Bellmer,/events/855218,8
Electro Swing Revolution - Summer Special,2016-07-01T00:00:00.000,2016-07-01T23:30:00.000,2016-07-02T05:00:00.000,"Justin Fidèle, The Carlson Two",Badehaus Berlin,/events/847676,7
Double Dancing with SJ Tequilla & Double Dancer,2016-07-01T00:00:00.000,2016-07-01T23:00:00.000,2016-07-02T07:00:00.000,"Double Dancer, SJ Tequilla",Sameheads,/events/832599,6
