Event name,Date,Start Time,End Time,Artists,Venue,Event URL,Number of guests attending
Klubnacht,2019-11-30T00:00:00.000,2019-11-30T23:59:00.000,2019-12-02T06:00:00.000,"Teste, Ancient Methods, Claire Morgan, Fiedel, Inland, Norman Nodge, Ryan Elliott, UVB, Beta Librae, Alex.Do, Alinka, Analog Soul, Anthony Naples, Castro Moore, Sound Metaphors Djs, Physical Therapy, Urulu",Berghain | Panorama Bar | Säule,/events/1330038,143
42 Katzen Tanzen auf dem Tisch,2019-12-01T00:00:00.000,2019-12-01T12:00:00.000,2019-12-03T10:00:00.000,"Caleesi, Sarah Kreis, Mimi Love, Whitesquare, Marcus Meinhardt, David Dorad, Mila Stern, Pauli Pocket, Franca, Kuriose Naturale, Arutani, Chris Schwarzwälder, Britta Arnold, Sven Dohse, Gina Sabatini, Geju, Niki Sadeki, Madmotormiquel, Robin Dey, Mira, Krink, Keope, Wide Awake, Pandhora",Kater Blau,/events/1323174,122
Mark Reeder in Conversation with 'Mad' Mike Banks,2019-12-01T00:00:00.000,2019-12-01T19:00:00.000,2019-12-01T23:00:00.000,"Mark Reeder, Mike Banks, Underground Resistance",Tresor / Globus,/events/1348633,109
Øath. with Function & Steve Bicknell,2019-12-01T00:00:00.000,2019-12-01T22:00:00.000,2019-12-02T10:00:00.000,"Function, Steve Bicknell",OHM,/events/1342427,73
Off The Grid,2019-12-01T00:00:00.000,2019-12-01T22:00:00.000,2019-12-02T09:00:00.000,"Kirk Degiorgio, Andrew James Gustav, Cecilio, Onirik, Rikki Humphrey, Jeyoh",Hoppetosse,/events/1340395,50
Electric Sound Garden,2019-12-01T00:00:00.000,2019-12-01T23:59:00.000,2019-12-02T09:00:00.000,"Midinoize, Maximilian Stolze, Swaytone",Lokschuppen Berlin,/events/1345420,36
Earworm 001,2019-12-01T00:00:00.000,2019-12-01T10:00:00.000,2019-12-02T06:00:00.000,"Magda, Blotter Trax, TB Arthur, Laylla Dane, The Josh Craig, Maxi Storrs, O.BEE, Tomas Station, Vagara, Oscar Rocha",Griessmuehle,/events/1345335,29
WET,2019-12-01T00:00:00.000,2019-12-01T14:00:00.000,2019-12-01T22:00:00.000,"Nina Berg, LOLSNAKE",://about blank,/events/1346703,21
Sonntagsklub,2019-12-01T00:00:00.000,2019-12-01T23:00:00.000,2019-12-02T08:00:00.000,"Techno Jesus, Dr Double U",AVA Club,/events/1346561,20
Zirkus Halli Galli,2019-12-01T00:00:00.000,2019-12-01T23:59:00.000,2019-12-03T00:00:00.000,,TBA - Berlin,/events/1354738,19
Un:seen Vol. II: Radical Vulnerability,2019-12-01T00:00:00.000,2019-12-01T21:00:00.000,2019-12-02T05:00:00.000,"Elissa Suckdog, Äggi Blu",Diskothek Melancholie 2,/events/1341873,18
Kitty Goldmine,2019-12-01T00:00:00.000,2019-12-01T08:00:00.000,2019-12-01T19:00:00.000,"Red pig flower, Dojas, Alex Kiefer",KitKatClub,/events/1351974,16
Lazy.Sunday mit Dj Delta F,2019-12-01T00:00:00.000,2019-12-01T18:00:00.000,2019-12-02T06:00:00.000,,Minimal Bar,/events/1314779,12
Fish-n-Slips Incl Afterhour,2019-11-30T00:00:00.000,2019-11-30T23:59:00.000,2019-12-01T23:59:00.000,Danilo Schneider,Golden Gate,/events/1342812,4
Sunday Club,2019-12-01T00:00:00.000,2019-12-01T12:00:00.000,2019-12-01T23:59:00.000,"VANYA, Vitling, DJ Sterni",Kake,/events/1349198,4
Queer Xmas Market,2019-11-30T00:00:00.000,2019-11-30T14:00:00.000,2019-12-01T22:00:00.000,,MUENZE,/events/1343767,3
Bizarre Trax presents // Becca's Bday Bash,2019-12-01T00:00:00.000,2019-12-01T15:00:00.000,2019-12-01T23:00:00.000,"Avos, Velasco, Jhobei, Oliver.r, Charleze",Paloma,/events/1348274,3
GMF - World Aids Day 2019,2019-12-01T00:00:00.000,2019-12-01T23:00:00.000,2019-12-02T07:00:00.000,,Ritter Butzke,/events/1345034,2
Backroom Story: Iku Sakan F. Æmbient,2019-12-01T00:00:00.000,2019-12-01T21:00:00.000,2019-12-02T02:00:00.000,,arkaoda Berlin,/events/1354267,2
Sunday Selection,2019-12-01T00:00:00.000,2019-12-01T23:30:00.000,2019-12-02T06:00:00.000,,Cassiopeia,/events/1329904,1
Beate Barfuß,2019-12-01T00:00:00.000,2019-12-01T17:00:00.000,2019-12-02T04:00:00.000,Sutsche,Beate Uwe,/events/1338062,1
At Loophole,2019-12-01T00:00:00.000,2019-12-01T18:00:00.000,2019-12-02T00:00:00.000,Filippo Guida,Loophole,/events/1342568,1
Nachspiel,2019-12-01T00:00:00.000,2019-12-01T23:00:00.000,2019-12-02T07:00:00.000,Maringo,KitKatClub,/events/1354992,1
Mad Monday presents Christmas Angels,2019-12-02T00:00:00.000,2019-12-02T23:00:00.000,2019-12-03T07:00:00.000,"Sailor Rave, Goa Camino",Der Weiße Hase,/events/1353597,5
42 Katzen Tanzen auf dem Tisch,2019-12-01T00:00:00.000,2019-12-01T12:00:00.000,2019-12-03T10:00:00.000,"Caleesi, Sarah Kreis, Mimi Love, Whitesquare, Marcus Meinhardt, David Dorad, Mila Stern, Pauli Pocket, Franca, Kuriose Naturale, Arutani, Chris Schwarzwälder, Britta Arnold, Sven Dohse, Gina Sabatini, Geju, Niki Sadeki, Madmotormiquel, Robin Dey, Mira, Krink, Keope, Wide Awake, Pandhora",Kater Blau,/events/1323174,122
Electric Monday,2019-12-02T00:00:00.000,2019-12-02T23:00:00.000,2019-12-03T07:00:00.000,"Local Suicide, Chris El Raton, Frankie Flowerz",KitKatClub,/events/1346146,41
Zirkus Halli Galli,2019-12-01T00:00:00.000,2019-12-01T23:59:00.000,2019-12-03T00:00:00.000,,TBA - Berlin,/events/1354738,19
House of Waxx,2019-12-02T00:00:00.000,2019-12-02T23:59:00.000,2019-12-03T09:00:00.000,"Alexis Cabrera, Cab Drivers, Daniel Paul, Nekes",Tresor / Globus,/events/1341180,19
Nice One,2019-12-02T00:00:00.000,2019-12-02T20:00:00.000,2019-12-03T06:00:00.000,"Pedro Mercado, Kris Adrian",Crack Bellmer,/events/1352779,17
John Southworth,2019-12-02T00:00:00.000,2019-12-02T20:00:00.000,2019-12-02T23:30:00.000,,Monarch,/events/1337548,17
Manic.Monday mit Peer Anhalter,2019-12-02T00:00:00.000,2019-12-02T18:00:00.000,2019-12-03T05:00:00.000,,Minimal Bar,/events/1332290,12
Monday Mood,2019-12-02T00:00:00.000,2019-12-02T19:00:00.000,2019-12-03T04:00:00.000,,Süss War Gestern,/events/1347657,2
Blue Lab Beats & Vels Trio,2019-12-02T00:00:00.000,2019-12-02T19:00:00.000,2019-12-02T23:59:00.000,,Badehaus Berlin,/events/1184536,3
Live IM 25 // Berliner Kneipenchor & Ariana Baborie,2019-12-02T00:00:00.000,2019-12-02T19:30:00.000,2019-12-02T21:30:00.000,,"25hours Hotel Bikini Berlin, 3. Etage",/events/1349064,1
Evosonic Evopool Update Classic Edition,2019-12-02T00:00:00.000,2019-12-02T14:00:00.000,2019-12-02T18:00:00.000,Chris Maico Schmidt,Evosonic Radio,/events/1353852,1
Encore.une.Fois - Techno Edition,2019-12-03T00:00:00.000,2019-12-03T23:59:00.000,2019-12-04T12:00:00.000,"Esther Duijn, Björn del Togno, Michael Placke",Lokschuppen Berlin,/events/1342110,96
10 Jahre Kreislauf Records,2019-12-03T00:00:00.000,2019-12-03T22:00:00.000,2019-12-04T06:00:00.000,"Jascha Yousefi, Nicolai Toma, Natureboy Gold, Brian Nappo",Paloma,/events/1350827,27
Quantic (Live with Band)- Atlantic Oscillations Live Tour,2019-12-03T00:00:00.000,2019-12-03T19:30:00.000,2019-12-03T23:30:00.000,Quantic,Gretchen,/events/1271546,19
go.Play mit Colsen,2019-12-03T00:00:00.000,2019-12-03T18:00:00.000,2019-12-04T07:00:00.000,Colsen,Minimal Bar,/events/1332295,17
Molly Jocker,2019-12-03T00:00:00.000,2019-12-03T20:00:00.000,2019-12-04T06:00:00.000,"Rocko Garoni, See Bastian",Crack Bellmer,/events/1352782,14
The Unknown presents Dicso Muzek,2019-12-03T00:00:00.000,2019-12-03T22:00:00.000,2019-12-04T02:00:00.000,,Mein Haus Am See,/events/1341881,14
Hot Chip,2019-12-03T00:00:00.000,2019-12-03T19:00:00.000,2019-12-04T23:00:00.000,Hot Chip,Columbiahalle,/events/1335588,13
Tuesday Tales,2019-12-03T00:00:00.000,2019-12-03T19:00:00.000,2019-12-04T05:00:00.000,,Süss War Gestern,/events/1347661,2
Nina Harker / Carton / Teubé,2019-12-03T00:00:00.000,2019-12-03T20:30:00.000,2019-12-04T02:00:00.000,Harker,arkaoda Berlin,/events/1354270,2
Super Tuesday,2019-12-03T00:00:00.000,2019-12-03T23:00:00.000,2019-12-04T06:00:00.000,,Cassiopeia,/events/1330181,1
Monsanto Gema#6 V3sta/Yorgas Helmet Album Release Party,2019-12-03T00:00:00.000,2019-12-03T20:30:00.000,2019-12-04T00:30:00.000,,Loophole,/events/1341681,1
Evosonic Evopool Update,2019-12-03T00:00:00.000,2019-12-03T14:00:00.000,2019-12-03T18:00:00.000,Chris Maico Schmidt,Evosonic Radio,/events/1353853,1
The Swag JAM,2019-12-03T00:00:00.000,2019-12-03T21:00:00.000,2019-12-04T04:00:00.000,,Badehaus Berlin,/events/1353977,1
Pong Club with Roko110 & Haunted Water,2019-12-03T00:00:00.000,2019-12-03T20:00:00.000,2019-12-04T02:00:00.000,,Griessmuehle,/events/1355495,0
Haven: 3.14 // Ireen Amnes // Ayarcana B2B Keepsakes,2019-12-04T00:00:00.000,2019-12-04T23:59:00.000,2019-12-05T07:00:00.000,"3.14, Ireen Amnes, Ayarcana, Keepsakes",Griessmuehle,/events/1341034,45
"Mittwoch: Shades with Prosumer, Mountak, Elisa Elisa",2019-12-04T00:00:00.000,2019-12-04T23:59:00.000,2019-12-05T10:00:00.000,"Prosumer, Mountak, Elisa Elisa",Watergate,/events/1341035,43
