Event name,Date,Start Time,End Time,Artists,Venue,Event URL,Number of guests attending
Revier Südost x Mechatronica,2020-10-01T00:00:00.000,2020-10-01T14:00:00.000,2020-10-01T22:00:00.000,"Anthony Rother, Jensen Interceptor, Kris Baha, Mejle, Milan Hermess, SALOME",RSO.BERLIN,/events/1425996,132
[CANCELLED] Expeditions N024,2020-10-01T00:00:00.000,2020-10-01T23:59:00.000,2020-10-02T08:00:00.000,,://about blank,/events/1380872,14
Deep Passion with Quadrakey,2020-10-01T00:00:00.000,2020-10-01T20:00:00.000,2020-10-02T06:00:00.000,Quadrakey,Crack Bellmer,/events/1426213,13
OFF License,2020-10-01T00:00:00.000,2020-10-01T19:30:00.000,2020-10-01T23:45:00.000,"Juliana Huxtable, Ziúr",Trauma Bar und Kino,/events/1425178,10
#Talkaboutbeirut,2020-10-01T00:00:00.000,2020-10-01T15:30:00.000,2020-10-02T06:00:00.000,"Andrea Ferlin, HEAR",Club der Visionaere,/events/1426274,4
Electronic.Thursday mit Stevn Kaiser,2020-10-01T00:00:00.000,2020-10-01T18:00:00.000,2020-10-02T05:00:00.000,,Minimal Bar,/events/1424800,3
Save The Gate / Open Air & Live Stream,2020-10-01T00:00:00.000,2020-10-01T20:00:00.000,2020-10-02T05:00:00.000,"Pepe Mateos, Damian.Thorn, Slurm McKenzie",Golden Gate,/events/1426120,3
Ritter Butzke on Tour with Robag Wruhme,2020-10-01T00:00:00.000,2020-10-01T18:00:00.000,2020-10-01T19:30:00.000,Robag Wruhme,Ritter Butzke,/events/1425715,2
3hd 2020: Echo Chamber,2020-10-01T00:00:00.000,2020-10-01T16:00:00.000,2020-10-04T18:30:00.000,Oli XL,Kleiner Wasserspeicher,/events/1426005,2
3hd 2020: Unhumanity,2020-08-15T00:00:00.000,2020-08-15T18:00:00.000,2020-11-07T18:00:00.000,"DJ Paypal, Jessica Ekomane, Juliana Huxtable, Oli XL, Marshall Vincent",HAU Hebbel am Ufer,/events/1423539,1
Sunset Vibes Pres. Vanilly,2020-10-01T00:00:00.000,2020-10-01T19:30:00.000,2020-10-02T01:00:00.000,,Solar,/events/1424226,1
Paloma Double Vision with Camille Blake & Alex Solman,2020-10-01T00:00:00.000,2020-10-01T18:00:00.000,2020-10-02T22:00:00.000,Resom,Paloma,/events/1425205,1
"Else Dance Party w. Job Jobse, Ki/Ki, Agyena & Johannes Albert",2020-10-02T00:00:00.000,2020-10-02T14:00:00.000,2020-10-02T22:00:00.000,"Job Jobse, KI/KI, Johannes Albert",Else,/events/1426041,497
Mother's Finest,2020-10-02T00:00:00.000,2020-10-02T14:00:00.000,2020-10-02T22:00:00.000,"Skee Mask, Stenny, Shanti Celeste, JASSS, Franklin De Costa",RSO.BERLIN,/events/1425701,298
Babel Open Air with Damian Lazarus,2020-10-02T00:00:00.000,2020-10-02T16:00:00.000,2020-10-03T00:00:00.000,"Damian Lazarus, Yulia Niko, Enzo Piro, Hendrixen",Sage Beach Berlin,/events/1424639,85
Bordel Des Arts Open Air 2020 3/3 Feat. Matze M.J's & Marcus S' B*Day Bashing,2020-10-02T00:00:00.000,2020-10-02T14:00:00.000,2020-10-02T22:00:00.000,"Mat.Joe, C'mon, vom Feisten, SKALA, Maurice Mino, Sin:port, Tomislav, JurieMember, Rickster",Burg Schnabel,/events/1426113,68
"Spontan Rave with Pauli Pocket, Foolik, Maurice Mino, Martin Ka uvm.",2020-10-02T00:00:00.000,2020-10-02T14:00:00.000,2020-10-02T22:00:00.000,"Pauli Pocket, Foolik, Maurice Mino, Sin:port, Martin Ka",Birgit,/events/1426293,67
Phuong Dan Invites Laurel Halo & RVDS,2020-10-02T00:00:00.000,2020-10-02T22:00:00.000,2020-10-03T04:00:00.000,"Phuong Dan, Laurel Halo, RVDS",arkaoda Berlin,/events/1425838,53
S.t.e.a.m.2000,2020-10-02T00:00:00.000,2020-10-02T18:00:00.000,2020-10-03T06:00:00.000,"Yoshi (DE), Peace6, Arbizu",TBA - Berlin,/events/1425694,29
Lowmoneymusiclove,2020-10-02T00:00:00.000,2020-10-02T15:30:00.000,2020-10-03T06:00:00.000,"Alec Falconer, DJ Tree, DJ Tjizza, Moses Mawila",Club der Visionaere,/events/1426273,26
OXI & Wsnwg,2020-10-02T00:00:00.000,2020-10-02T14:00:00.000,2020-10-02T22:00:00.000,"Lady Starlight, Rødhåd",OXI,/events/1426235,12
Sold Out // Monkey Safari (4h Extended Set) Open Air @Kulturgarten,2020-10-02T00:00:00.000,2020-10-02T18:00:00.000,2020-10-02T22:00:00.000,Monkey Safari,Ritter Butzke,/events/1423998,10
OFF License,2020-10-02T00:00:00.000,2020-10-02T19:30:00.000,2020-10-02T23:45:00.000,"Juliana Huxtable, Ziúr",Trauma Bar und Kino,/events/1425180,10
Geminii X Nervmusic,2020-10-02T00:00:00.000,2020-10-02T21:00:00.000,2020-10-03T06:00:00.000,"Denis Kaznacheev, Tripmastaz, Bauch, BioN",Old CCCP,/events/1425184,5
Bday Canceled,2020-10-02T00:00:00.000,2020-10-02T22:00:00.000,2020-10-04T22:00:00.000,,H10,/events/1425480,4
Otrantos.Music.Zone mit Bruno Otranto & Friends,2020-10-02T00:00:00.000,2020-10-02T18:00:00.000,2020-10-03T06:15:00.000,Bruno Otranto,Minimal Bar,/events/1421599,3
Garten Open Air,2020-10-02T00:00:00.000,2020-10-02T20:00:00.000,2020-10-03T05:00:00.000,"The Pushamann, Katie Drover, Didier Dlb",Golden Gate,/events/1426122,3
3hd 2020: Echo Chamber,2020-10-01T00:00:00.000,2020-10-01T16:00:00.000,2020-10-04T18:30:00.000,Oli XL,Kleiner Wasserspeicher,/events/1426005,2
"Framed Satellite/ Music: Yonathan Avishai, ART: Noga Shtainer",2020-10-02T00:00:00.000,2020-10-02T19:30:00.000,2020-10-02T22:00:00.000,,Framed,/events/1422221,1
3hd 2020: Unhumanity,2020-08-15T00:00:00.000,2020-08-15T18:00:00.000,2020-11-07T18:00:00.000,"DJ Paypal, Jessica Ekomane, Juliana Huxtable, Oli XL, Marshall Vincent",HAU Hebbel am Ufer,/events/1423539,1
Sunset Vibes Pres. Femalemacho,2020-10-02T00:00:00.000,2020-10-02T19:30:00.000,2020-10-03T01:00:00.000,Femalemacho,Solar,/events/1424228,1
Paloma Double Vision with Camille Blake & Alex Solman,2020-10-01T00:00:00.000,2020-10-01T18:00:00.000,2020-10-02T22:00:00.000,Resom,Paloma,/events/1425205,1
Ladies Night,2020-10-02T00:00:00.000,2020-10-02T21:00:00.000,2020-10-03T03:00:00.000,,Soda Club,/events/1425862,1
SPY: Social Club Mitte,2020-10-02T00:00:00.000,2020-10-02T20:00:00.000,2020-10-03T03:00:00.000,"Mr. Mahal, Cosmo Mahal, Willis Anne",SPY,/events/1426504,1
Disobedient Circumstance x shitlabel / Open Air,2020-10-03T00:00:00.000,2020-10-03T22:00:00.000,2020-10-04T10:00:00.000,"Alien Rain, Milton Bradley, BLACK ANTHEM RESTORE, Inverse Element, Juliana Huxtable, Sky Deep, Tommy Four Seven",TBA - Berlin,/events/1425652,765
"Else Rave w. Kangding Ray, Headless Horseman & More",2020-10-03T00:00:00.000,2020-10-03T14:00:00.000,2020-10-03T22:00:00.000,"Ciarra Black, Headless Horseman, Kangding Ray, Stephanie Sykes",Else,/events/1426081,658
O MATO - Lago do Mato,2020-10-03T00:00:00.000,2020-10-03T12:00:00.000,2020-10-03T22:00:00.000,"Vera, Sugar Free, Paul Kine, Alexander Einetter, BeatPete",,/events/1425312,452
Tag der Clubkultur: Revier Südost,2020-10-03T00:00:00.000,2020-10-03T09:00:00.000,2020-10-03T22:00:00.000,"CEM, Cinthie, DJ Seinfeld, Sanni Est, Virginia",RSO.BERLIN,/events/1426100,319
Deutschland Canceln - Shutdown Soundtracks,2020-10-03T00:00:00.000,2020-10-03T12:00:00.000,2020-10-03T21:00:00.000,"Amperia, Anja Zaube, Erik Jäähalli, Reka Zalan, Resom, Samo Rane",://about blank,/events/1425028,234
"Ostfunk Open Air #4 with Spektre, Yetti Meißner, Adhs",2020-10-03T00:00:00.000,2020-10-03T14:00:00.000,2020-10-03T22:00:00.000,"Spektre, Patrick Scuro",OST,/events/1424841,179
