Event name,Date,Start Time,End Time,Artists,Venue,Event URL,Number of guests attending
Emika - HaZe Night *live,2025-04-03T00:00:00.000,2025-04-03T19:30:00.000,2025-04-03T23:00:00.000,Emika,Gretchen,/events/1999398,23
BASH 28 / 60 HERTZ,2025-04-03T00:00:00.000,2025-04-03T21:00:00.000,2025-04-04T05:00:00.000,,60 Hz,/events/1911365,3
First Hate (DK),2025-04-03T00:00:00.000,2025-04-03T20:00:00.000,2025-04-03T22:00:00.000,,8MM,/events/2038443,0
15 Years Wasted Unicorns,2025-04-04T00:00:00.000,2025-04-04T23:00:00.000,2025-04-05T10:00:00.000,"Tiefschwarz, A.D.H.S., Kollektiv Ost, Yetti Meißner, Niko Schwind, Sylvie Maziarz, deKai",ÆDEN,/events/2041240,16
First Hate (DK),2025-04-04T00:00:00.000,2025-04-04T20:00:00.000,2025-04-04T23:00:00.000,,TBA,/events/2038444,3
ENGIN - Şeker Tour 2025 *live,2025-04-04T00:00:00.000,2025-04-04T19:30:00.000,2025-04-04T23:00:00.000,,Gretchen,/events/2030232,1
NTO Live,2025-04-05T00:00:00.000,2025-04-05T22:00:00.000,2025-04-06T03:00:00.000,NTO,Astra Kulturhaus,/events/2028551,131
Weltauswahl by Extrawelt,2025-04-05T00:00:00.000,2025-04-05T22:00:00.000,2025-04-06T09:00:00.000,Extrawelt,Ritter Butzke,/events/1922771,69
☆ LOWKEY STARS ★,2025-04-05T00:00:00.000,2025-04-05T22:00:00.000,2025-04-06T08:00:00.000,Bélavie,://about blank,/events/2010954,13
CENOTE,2025-04-05T00:00:00.000,2025-04-05T22:00:00.000,2025-04-06T10:00:00.000,ATR DJ-TEAM,TBA,/events/2038231,1
Fox Stevenson *live,2025-04-08T00:00:00.000,2025-04-08T19:30:00.000,2025-04-08T23:00:00.000,Fox Stevenson,Gretchen,/events/2045638,10
ASHLEY HENRY *live,2025-04-09T00:00:00.000,2025-04-09T19:30:00.000,2025-04-09T23:00:00.000,,Gretchen,/events/1999259,5
Fauves - TBA,2025-04-10T00:00:00.000,2025-04-10T22:00:00.000,2025-04-11T08:00:00.000,,OXI,/events/2049006,0
"ONYX x Mutabor w / Alex Farell, Nikolina, Niotech, DJ Sonnenbrand, Alex Friday",2025-04-11T00:00:00.000,2025-04-11T23:00:00.000,2025-04-12T09:00:00.000,"NIKOLINA_, Alex Farell, Niotech, Al Aslan, DJ Sweet And Sour, DJ Sonnenbrand, Alex Friday, Trancestrudel",OST,/events/2021679,42
Wolfgang Valbrun *live,2025-04-11T00:00:00.000,2025-04-11T19:30:00.000,2025-04-11T23:00:00.000,,Gretchen,/events/2041892,0
Synthetik,2025-04-12T00:00:00.000,2025-04-12T23:00:00.000,2025-04-13T09:00:00.000,,OST,/events/1939584,36
Machineries Of Joy,2025-04-12T00:00:00.000,2025-04-12T22:00:00.000,2025-04-13T05:00:00.000,"Agent-Provocateur, Uwe Marx, Marko König",Urban Spree,/events/2024270,2
YīN YīN *live,2025-04-13T00:00:00.000,2025-04-13T19:30:00.000,2025-04-13T23:00:00.000,YīN YīN,Gretchen,/events/2003750,20
PiepShow - EasterPiep,2025-04-18T00:00:00.000,2025-04-18T20:00:00.000,2025-04-19T10:00:00.000,,KitKatClub,/events/2024314,24
Subverted x Brutal Forms,2025-04-18T00:00:00.000,2025-04-18T22:00:00.000,2025-04-19T08:00:00.000,,TBA - Secret Location,/events/2027420,12
DUALISM,2025-04-19T00:00:00.000,2025-04-19T23:00:00.000,2025-04-20T08:00:00.000,,://about blank,/events/2037063,7
ANIMA: Family Dinner (Easter Edition),2025-04-19T00:00:00.000,2025-04-19T23:00:00.000,2025-04-21T06:00:00.000,,Kreuzwerk,/events/2049330,1
PiG,2025-04-20T00:00:00.000,2025-04-20T22:00:00.000,2025-04-21T07:00:00.000,,OST,/events/2032900,1
ANIMA: Family Dinner (Easter Edition),2025-04-19T00:00:00.000,2025-04-19T23:00:00.000,2025-04-21T06:00:00.000,,Kreuzwerk,/events/2049330,1
JULIAN LAGE *live,2025-04-22T00:00:00.000,2025-04-22T19:30:00.000,2025-04-22T23:00:00.000,,Metropol,/events/2029271,0
Adrenaline x Selected,2025-04-25T00:00:00.000,2025-04-25T23:00:00.000,2025-04-26T10:00:00.000,,RSO.BERLIN,/events/2045865,40
"DIVISION X GALACTIC HARMONY w/ zwilling., DJ Achim Feuervogel, G.IO, Amøn, uvm",2025-04-25T00:00:00.000,2025-04-25T23:00:00.000,2025-04-26T09:00:00.000,"Amøn, DJ Achim Feuervogel, ELOISA, GI.O, ONRA (3), OLEK.V, Vivus, zwilling.",Lokschuppen Berlin,/events/2029717,18
"Devoted w/ SIKOTI, Kø:lab, Part Time Killer b2b Cara Elizabeth, 1luu, Serafina b2b Wílderich ",2025-04-26T00:00:00.000,2025-04-26T23:00:00.000,2025-04-27T10:00:00.000,"1luu, IGDA, Kø:lab, Part Time Killer, Cara Elizabeth, Serafina, WILDERÍCH, SIKOTI",OST,/events/2034078,57
Tanz in den Mai,2025-04-30T00:00:00.000,2025-04-30T23:00:00.000,2025-05-01T08:00:00.000,,Void Club,/events/2022890,19
Tanz in den Mai,2025-04-30T00:00:00.000,2025-04-30T23:00:00.000,2025-05-01T08:00:00.000,,Void Club,/events/2022890,19
