Event name,Date,Start Time,End Time,Artists,Venue,Event URL,Number of guests attending
Gegen XS,2023-04-01T00:00:00.000,2023-04-01T00:00:00.000,2023-04-03T10:00:00.000,"Paula Temple, SNTS, AnD, Metaraph, Headless Horseman, LESSSS, Scalameriya, Dana Montana, Samantha Togni, MELATRONIX, Elad Magdasi, Mathias Weber, Henning Baer, Aida Arko, Flavia Laus, Znzl, Rakans, CRYME, Angel Karel, Radical Softness, Cristian Marras, RUIZ OSC1, La Fraicheur, Alva, OCD, Projekt Gestalten, Mar/us, RÆZA, VINVAR, marum, Miro Von Berlin, Kiar Oscuro, Luna Vassarotti, Auspex, Lady Maru, RQVX, X.I.R.A",RSO.BERLIN,/events/1658271,2129
"Slave To The Rave with Clouds, Marc Acardipane, Nova Cheq, Somniac One",2023-04-01T00:00:00.000,2023-04-01T23:00:00.000,2023-04-02T12:00:00.000,"Tanith, Nick Moody, Clouds, Marc Acardipane, Somniac One, Infinity Division, Minimal Violence, Bae Blade, Samurai Breaks, Nova Cheq, Wittes",OST,/events/1644112,944
Toy Tonics presents ITALOMANIA,2023-04-01T00:00:00.000,2023-04-01T23:00:00.000,2023-04-02T08:00:00.000,"Napoli Segreta, Kapote, Rena Volvo, Jason K (IT), Carly Zeng, Reda Saiarh, DJ BOEING, Peachonfuse",OXI,/events/1665794,787
"Tau Mich Auf w/ Tijana T, Estella Boersma, P.Vanillaboy b2b 3LNA",2023-04-01T00:00:00.000,2023-04-01T23:00:00.000,2023-04-02T08:00:00.000,"DJ KILLING, Master Bedroom, Estella Boersma, P.Vanillaboy, 3LNA, Tijana T",ÆDEN,/events/1677869,470
Birgits Frühlingserwachen - Open Air & Club Opening,2023-03-31T00:00:00.000,2023-03-31T22:00:00.000,2023-04-02T08:00:00.000,"Babxi, Maltitz, Shimanski, Aio, Shlomsen, DJ Lion, Lorsh, ayu bi, Sommersonnenwende, Nostique, b0ys_cry",Birgit,/events/1662642,414
Klubnacht,2023-04-01T00:00:00.000,2023-04-01T23:59:00.000,2023-04-03T06:00:00.000,"Tobias., Adiel, Freddy K, Len Faki, Nene H, Quelza, rRoxymore, Van Anh, Channel Tres, Elkka, Etapp Kyle, Jennifer Loveless, Josh Caffé, Nathalie Seres, Octo Octa, Ross From Friends",Berghain | Panorama Bar | Säule,/events/1653667,272
BUSTED with PET DUO - EDNA - Schicktanz AND MORE,2023-04-01T00:00:00.000,2023-04-01T23:00:00.000,2023-04-02T10:00:00.000,"PETDuo, EDNA, Schicktanz, Dominik Pazzer, KLING&KLANG",ORWO Haus,/events/1654213,216
Tresor Celebrates 30 Years of Metalheadz Records,2023-04-01T00:00:00.000,2023-04-01T23:00:00.000,2023-04-02T12:00:00.000,"Doc Scott, Goldie, gyrofield, Paradox, Dinamite, Esther Dune, Magda El Bayoumi",Tresor / Globus,/events/1663533,175
ROOM w/ Friends & Family,2023-04-01T00:00:00.000,2023-04-01T22:00:00.000,2023-04-02T10:00:00.000,,M01,/events/1673541,170
"Renate with DAHRAXT b2b Hurtado, Liza Aikin, Neighbourhood Character, Rudolf C",2023-04-01T00:00:00.000,2023-04-01T23:00:00.000,2023-04-02T10:00:00.000,"DAHRAXT, Hurtado, Liza Aikin, Trainee, Denzel, emkay (FI), Rudolf C, DJ Westfa, Julion De'Angelo, The Neighbourhood Character, Sado Opera",Renate,/events/1675051,161
HARD RAVE BERLIN HARDTECHNO TECHNO,2023-04-01T00:00:00.000,2023-04-01T22:00:00.000,2023-04-02T06:30:00.000,"Louis Harshman, ZOEVITA, Freulein P., Electrooney",ASeven,/events/1669199,130
"BYT by Concrete w/ The Chronics, High Future, Faster Horses more",2023-04-01T00:00:00.000,2023-04-01T23:00:00.000,2023-04-02T10:00:00.000,"Flits, The Chronics, High Future, Lene Ma Rue, DJ Saunameister, .Cheka, Faster Horses, LEON SCHANZENBACH",Köpenicker Strasse 18,/events/1642726,128
fhainest INFERNO - Techno / Melodic,2023-04-01T00:00:00.000,2023-04-01T23:00:00.000,2023-04-02T08:00:00.000,"Mark Reeve, Belocca, Joris Turenhout, NÚRIA (DE), Jil Tanner, Bäggy, Bianka Banks, Cara Elizabeth, Die Dunkelziffer, Kriszpy, Little Nats, maltech, Millie Forsberg, OELEX, Son of Adria",Astra Kulturhaus,/events/1664543,116
HRA: NACHTFLUG 05,2023-04-01T00:00:00.000,2023-04-01T23:00:00.000,2023-04-02T10:00:00.000,"0megavybe, Anterist, Aexhy, Butschi, DEV, Less Distress, piater., SACID, Pixelflowers",://about blank,/events/1654273,96
APS: A Psychomagic Story,2023-04-01T00:00:00.000,2023-04-01T23:00:00.000,2023-04-02T09:00:00.000,"GLIA, Squaric, Sender Berlin, Diego Moreno, Chinichi, Mætadata",AVA Club,/events/1675770,88
Weltauswahl (by Extrawelt),2023-04-01T00:00:00.000,2023-04-01T22:00:00.000,2023-04-02T09:00:00.000,"Extrawelt, Gregor Tresher, Nathan Fake",Ritter Butzke,/events/1629233,65
LAYERS - going down,2023-04-01T00:00:00.000,2023-04-01T23:00:00.000,2023-04-02T06:00:00.000,"Newa, Khloe, DJ Eivissa, FRÆNZ:, limbic sis",Untertage Berlin,/events/1655719,64
