Event name,Date,Start Time,End Time,Artists,Venue,Event URL,Number of guests attending
4 Years Mother's Finest,2017-09-30T00:00:00.000,2017-09-30T22:00:00.000,2017-10-01T22:00:00.000,"Tikiman, Scion, Laurel Halo, Bambounou, Special Request, Jane Fitz, Red Rack'em, K-HAND, Elisabeth, Leibniz, Miriam Schulte, Franklin De Costa",Griessmuehle,/events/995915,226
Grizzlynation 2017,2017-09-30T00:00:00.000,2017-09-30T23:45:00.000,2017-10-02T12:00:00.000,"Aera, C.love, Rødhåd, Dusty Kid, Voiski, Rampue, Alex.Do, Perel, Cinthie, Mira, Lux., M.Rux, RSS Disco, Pablo Mateo, Schlepp Geist, hypnorex, Martha van Straaten, main(void), Gene Siewing, Kalipo, Anja Zaube, Fog Puma, Mareena, Caleesi, HKS97, Grizzly",://about blank,/events/979868,189
Klubnacht,2017-09-30T00:00:00.000,2017-09-30T23:59:00.000,2017-10-02T06:00:00.000,"Luis Flores, Planetary Assault Systems, Answer Code Request, Tobias., Peter Van Hoesen, Psyk, Ryan Elliott, Steve Bicknell, Vakula, Patrick Pulsinger, Sam Irl, ATEQ, Dinky, Edward, Margaret Dygas, Marvin & Guy, Muallem, Nick Höppner",Berghain | Panorama Bar | Säule,/events/1001903,146
Electric Sound Garden Pres. Carlo Ruetz,2017-10-01T00:00:00.000,2017-10-01T23:00:00.000,2017-10-02T10:00:00.000,"Carlo Ruetz, Daniel Boon, Sylvie Maziarz, Swaytone",Lokschuppen Berlin,/events/993074,86
4 Years Mother's Finest,2017-10-01T00:00:00.000,2017-10-01T09:00:00.000,2017-10-01T22:00:00.000,"Jane Fitz, Red Rack'em, Elisabeth, Franklin De Costa",Griessmuehle,/events/1000552,67
Grizzlynation 2017,2017-10-01T00:00:00.000,2017-10-01T00:00:00.000,2017-10-02T06:00:00.000,"Aera, C.love, Rødhåd, Dusty Kid, Voiski, Rampue, Alex.Do, Perel, Cinthie, Mira, Lux., M.Rux, RSS Disco, Pablo Mateo, Schlepp Geist, hypnorex, Martha van Straaten, main(void), Gene Siewing, Kalipo, Anja Zaube, Fog Puma, Mareena, Caleesi, HKS97, Grizzly",://about blank,/events/985020,57
Perfect Sundays:,2017-10-01T00:00:00.000,2017-10-01T20:00:00.000,2017-10-02T12:00:00.000,"Sonja Moonear, Barac, Ian F, Raphael Merheb, Topper, Daniele Papini, Nathan Oye",Hoppetosse,/events/1016883,43
Moshi Moshi Techno Nacht,2017-10-01T00:00:00.000,2017-10-01T23:59:00.000,2017-10-02T10:00:00.000,"Spectribe, THNTS, Antonio Vázquez, Anri",Chalet,/events/1007935,40
Chord Records end of Summer Party,2017-10-01T00:00:00.000,2017-10-01T08:00:00.000,2017-10-01T20:00:00.000,"DJ Masda, The Ghost, Luke Black, Fletcher",Sisyphos,/events/1014127,30
S•a•s•o•m•o•d•i - Studio 76 / Lehar / Scsi 9 / Walker & Royce / Raye / Alexis Cabrera,2017-09-30T00:00:00.000,2017-09-30T23:59:00.000,2017-10-02T14:00:00.000,"Raye, Alexis Cabrera, SCSI-9, Lehar, Bobby Starrr, Walker & Royce, Jake the Rapper, Juli N. More, Yannick Robyns, Dada Disco, Mental Carnival, Emmanuel K, Jamy Wing, Max Nippert",Kater Blau,/events/1008574,29
