Event name,Date,Start Time,End Time,Artists,Venue,Event URL,Number of guests attending
Pornceptual & Buttons x ://About Blank Garden: Moving Forward,2020-07-31T00:00:00.000,2020-07-31T19:00:00.000,2020-08-02T23:00:00.000,,://about blank,/events/1412068,1575
Alles Paletti Open Air Extravaganza,2020-08-01T00:00:00.000,2020-08-01T15:00:00.000,2020-08-02T06:00:00.000,"Tyler Pope, Habitat Shaking, Xena, BODRA, Ctrl_Alt_Dlt",TBA - Berlin,/events/1419021,155
Birgits Save The Summer Open Air,2020-08-01T00:00:00.000,2020-08-01T14:00:00.000,2020-08-01T22:00:00.000,"Leon Licht, Empro, Kaufmann, David Dorad",Birgit,/events/1419975,78
Eleven Songs – Halle am Berghain,2020-07-15T00:00:00.000,2020-07-15T14:00:00.000,2020-08-02T20:00:00.000,Tam Tam,Halle,/events/1411843,44
Home Again Pres 1992,2020-08-01T00:00:00.000,2020-08-01T16:00:00.000,2020-08-02T22:00:00.000,"Meggy, Thabo, Thalo Santana",Sage Beach Berlin,/events/1418178,10
all.Night.Long mit Saša,2020-08-01T00:00:00.000,2020-08-01T18:00:00.000,2020-08-02T05:00:00.000,Saša,Minimal Bar,/events/1418501,5
Saturdays::,2020-08-01T00:00:00.000,2020-08-01T14:00:00.000,2020-08-02T06:00:00.000,"Luc Ringeisen, Funk E",Club der Visionaere,/events/1419979,5
Ibizasoulon Pres. Rene Goldman,2020-08-01T00:00:00.000,2020-08-01T18:00:00.000,2020-08-02T01:00:00.000,Beach House,Solar,/events/1418678,4
Monom presents: Sound Sculptures with Rrose and Shifted,2020-08-01T00:00:00.000,2020-08-01T14:00:00.000,2020-08-02T23:00:00.000,"Rrose, Shifted",MONOM,/events/1419321,4
Dream World Order - An Immersive Art Experience,2020-07-28T00:00:00.000,2020-07-28T17:30:00.000,2020-08-06T22:30:00.000,Chemical Adam,TBA - Berlin,/events/1418597,3
"Zero Stress Garden with Doron, Neobeo",2020-08-01T00:00:00.000,2020-08-01T17:00:00.000,2020-08-02T01:00:00.000,Neobeo,Lokschuppen Berlin,/events/1419454,2
Visite sur L'histoire de la Musique Électronique de Berlin,2020-07-29T00:00:00.000,2020-07-29T11:00:00.000,2020-08-05T15:00:00.000,,Mall Of Berlin,/events/1419545,2
Trop'n Heavy Pt. III,2020-08-01T00:00:00.000,2020-08-01T14:00:00.000,2020-08-02T02:00:00.000,"Isa GT, Alexa D!saster",Urban Spree,/events/1419876,2
Garten,2020-08-01T00:00:00.000,2020-08-01T16:00:00.000,2020-08-01T23:59:00.000,"nd_baumecker, Boris",Berghain | Panorama Bar | Säule,/events/1422502,2
