Event name,Date,Start Time,End Time,Artists,Venue,Event URL,Number of guests attending
Tresor New Faces,2017-11-01T00:00:00.000,2017-11-01T23:59:00.000,2017-11-02T12:00:00.000,"Schacke, Hurtado, Sthlm Murder Girls, Goldenaxe",Tresor / Globus,/events/1012086,38
More Women on the Decks' Month mit Antikkka & Raketka,2017-11-01T00:00:00.000,2017-11-01T23:00:00.000,2017-11-02T06:30:00.000,"Antikkka, Raketka",Farbfernseher,/events/1031225,31
The Unknown presents Danito San & Denzel,2017-11-01T00:00:00.000,2017-11-01T22:00:00.000,2017-11-02T04:00:00.000,Danito San,Süss War Gestern,/events/1012439,28
Tal der Verwirrung - 3 x Schwarzer Kater,2017-10-30T00:00:00.000,2017-10-30T23:00:00.000,2017-11-01T18:00:00.000,"Baba The Knife, Be Svendsen, Billy Caso, Casimir von Oettingen, Chris Hanke, Chrischou, Constantijn Lange, Coss, Cotumo, Dave Dinger, Elias Doré, Gwen, Jascha Hagen, JANEIN, Katscha, Lake People, Leon Kostner, Lopal, Marabou, Okaxy, Otim Alpha, Ninze, Peter Power, Philipp Kempnich, Ring & Dorf, Robosonic, Roni Amitai, RSS Disco, Sado Opera, Struppie, TURTUR, Zebra Centauri",Kater Blau,/events/1026841,27
"Mittwoch: Paul Johnson, Daniel Steinberg, Oliver Dollar + Kristin Velvet",2017-11-01T00:00:00.000,2017-11-01T23:59:00.000,2017-11-02T10:00:00.000,"Paul Johnson, Daniel Steinberg, Oliver Dollar, Kristin Velvet",Watergate,/events/1027262,24
Mittendrin mit Sascha Sander,2017-11-01T00:00:00.000,2017-11-01T19:00:00.000,2017-11-02T05:00:00.000,"Sascha Sander, Assal",Minimal Bar,/events/1009093,22
Techno Mittwoch,2017-11-01T00:00:00.000,2017-11-01T23:00:00.000,2017-11-02T10:00:00.000,Izzy Demzky,AVA Club,/events/1028642,19
Mulatu Astatke - Sold out,2017-11-01T00:00:00.000,2017-11-01T20:00:00.000,2017-11-01T23:30:00.000,Mulatu Astatke,Gretchen,/events/970744,14
Com Truise,2017-11-01T00:00:00.000,2017-11-01T20:00:00.000,2017-11-01T23:59:00.000,Com Truise,Cassiopeia,/events/987980,11
Halbzeit mit Ingenieur Plaschek,2017-11-01T00:00:00.000,2017-11-01T19:00:00.000,2017-11-02T04:00:00.000,Ingenieur Plaschek,Promenaden Eck,/events/1031078,9
"Oh, Excusez moi",2017-11-01T00:00:00.000,2017-11-01T21:00:00.000,2017-11-02T03:00:00.000,Peachonfuse,Repeat,/events/1031676,9
Rave am Mittwoch deKai b2b Tom Marten // Freulein P,2017-11-01T00:00:00.000,2017-11-01T23:59:00.000,2017-11-02T08:00:00.000,"deKai, Tom Marten",Polygon Club,/events/1025553,5
Slowmotor with Iorie & BurnTale,2017-11-01T00:00:00.000,2017-11-01T20:00:00.000,2017-11-02T06:00:00.000,"Iorie, BurnTale",Crack Bellmer,/events/1031149,2
French Family,2017-11-01T00:00:00.000,2017-11-01T18:00:00.000,2017-11-02T02:00:00.000,,Solar,/events/1022829,1
Symbiotikka,2017-11-01T00:00:00.000,2017-11-01T23:00:00.000,2017-11-02T07:00:00.000,"Jan Ehret, MARCEL db, Dr Double U",KitKatClub,/events/1023813,1
"lost.souls with Jan Oberlaender, Empro, Niejeliebt Showcase",2017-11-02T00:00:00.000,2017-11-02T23:00:00.000,2017-11-03T12:00:00.000,"Jan Oberlaender, Empro, Kontny & Stache",Burg Schnabel,/events/1012508,95
Rituals Hosted by Cristian Marras,2017-11-02T00:00:00.000,2017-11-02T23:59:00.000,2017-11-03T09:00:00.000,"Fedex, Rorschack, Chami, Pastram, Cristian Marras",Lokschuppen Berlin,/events/1026771,55
Dia de los Muertos Ft. Spule Musik with Ian Pooley & Kaiser Souzai,2017-11-02T00:00:00.000,2017-11-02T23:59:00.000,2017-11-03T10:00:00.000,"Ian Pooley, Kaiser Souzai, vom Feisten",Chalet,/events/1025560,48
Bedouin,2017-11-02T00:00:00.000,2017-11-02T22:00:00.000,2017-11-03T05:00:00.000,"Salem Rashid, Tzusing",Berghain | Panorama Bar | Säule,/events/1024355,40
"Operate: 2-Step, UK-Garage & House",2017-11-02T00:00:00.000,2017-11-02T23:00:00.000,2017-11-03T06:00:00.000,"Sarah Farina, Ben Mono, TMSN",Farbfernseher,/events/1030072,32
Thursdate: Friends of Pets,2017-11-02T00:00:00.000,2017-11-02T23:59:00.000,2017-11-03T10:00:00.000,"Catz 'N Dogz, Jonathan Kaspar",Watergate,/events/1022308,30
Electronic.Thursday mit Iman Deeper,2017-11-02T00:00:00.000,2017-11-02T19:00:00.000,2017-11-03T06:00:00.000,Iman Deeper,Minimal Bar,/events/1007063,21
Basstronauten Meets die Jungen Wilden,2017-11-02T00:00:00.000,2017-11-02T23:00:00.000,2017-11-03T10:00:00.000,"Basstronauten, Bollwaerk, Boudi Boudin & Salomé, Boudi Boudin",AVA Club,/events/1029074,15
Secret Source,2017-11-02T00:00:00.000,2017-11-02T23:59:00.000,2017-11-03T04:00:00.000,"Abilaan, el Franc",Rosi's,/events/1031839,15
Donnerdogge,2017-11-02T00:00:00.000,2017-11-02T23:59:00.000,2017-11-03T10:00:00.000,"Perel, Damian.Thorn, Meggy, Edgar Peng",Golden Gate,/events/1030179,14
Thank you Thursday,2017-11-02T00:00:00.000,2017-11-02T19:00:00.000,2017-11-03T05:00:00.000,,Süss War Gestern,/events/1023464,13
Igloo Showcase,2017-11-02T00:00:00.000,2017-11-02T20:00:00.000,2017-11-03T06:00:00.000,"Elephant Pixel, Cosmic Avenue, Armstrong, Pablo Denegri, Dilo",Crack Bellmer,/events/1030493,11
Der Abend mit Walram,2017-11-02T00:00:00.000,2017-11-02T19:00:00.000,2017-11-03T04:00:00.000,,Promenaden Eck,/events/1031079,11
Sibéri + Laake • Live French Electronica and Chillwave Night,2017-11-02T00:00:00.000,2017-11-02T20:30:00.000,2017-11-02T23:00:00.000,Sibéri,Barkett,/events/1027820,10
Funkee Jamboree,2017-11-02T00:00:00.000,2017-11-02T19:00:00.000,2017-11-03T00:00:00.000,Danny Russell,Jamboree Bar,/events/1028937,10
Moist Liquid Sunrise,2017-11-02T00:00:00.000,2017-11-02T23:59:00.000,2017-11-03T06:30:00.000,DJ Fett Burger,Paloma,/events/1030339,6
Thundersday,2017-11-02T00:00:00.000,2017-11-02T23:00:00.000,2017-11-03T06:00:00.000,DJ Parker Lewis,Cassiopeia,/events/1015670,5
