Event name,Date,Start Time,End Time,Artists,Venue,Event URL,Number of guests attending
Cafe-Gallery: Parna•yves,2020-02-01T00:00:00.000,2020-02-01T23:59:00.000,2020-02-02T08:00:00.000,Parna,Cafe-Gallery,/events/1383948,1
Horoom: Zeinkali (All Night Long),2020-02-01T00:00:00.000,2020-02-01T23:59:00.000,2020-02-02T09:00:00.000,Jd J,Bassiani,/events/1378203,3
Gio Shengelia • Tomma • Sportsmanship • Ani Kvirkvelia,2020-02-01T00:00:00.000,2020-02-01T23:00:00.000,2020-02-02T21:00:00.000,"Gio Shengelia, Tomma, Sportsmanship, Ani Kvirkvelia",Mtkvarze,/events/1378574,1
Prince Bar: Frequency Shifter / Giorgi Devadze / TAZ / Marikhi / 440Hz,2020-01-30T00:00:00.000,2020-01-30T23:00:00.000,2020-02-02T04:00:00.000,"Frequency Shifter, Giorgi Devadze, Marikhi, 440Hz",Prinz Bar,/events/1381451,1
DRB by Home: Grettens / Modular Synth Affection,2020-02-01T00:00:00.000,2020-02-01T22:00:00.000,2020-02-02T03:00:00.000,Affection,DRB by Art-Cafe Home,/events/1382432,1
Art-Cafe Home: Skalitzer / Yasamani,2020-02-01T00:00:00.000,2020-02-01T22:00:00.000,2020-02-02T03:00:00.000,,Art-Cafe Home,/events/1382445,1
Shveba / Ketevan,2020-02-01T00:00:00.000,2020-02-01T22:00:00.000,2020-02-02T04:30:00.000,"Shveba, KETEVAN",Synod,/events/1382539,1
Week #162 at Tivi,2020-02-01T00:00:00.000,2020-02-01T23:00:00.000,2020-02-03T05:00:00.000,,Tivi Bar,/events/1383460,1
Francesco,2020-02-01T00:00:00.000,2020-02-01T06:00:00.000,2020-02-02T11:30:00.000,DJ Francesco,Success Bar,/events/1389491,1
Week #162 at Tivi,2020-02-01T00:00:00.000,2020-02-01T23:00:00.000,2020-02-03T05:00:00.000,,Tivi Bar,/events/1383460,1
Cafe-Gallery:Frequency Shifter •P.Y.M.K •LEVS•MORDECAI,2020-02-04T00:00:00.000,2020-02-04T23:59:00.000,2020-02-05T08:30:00.000,"Frequency Shifter, LEVS, Mordecai",Cafe-Gallery,/events/1384082,1
Cafe-Gallery:Keem•comethisfar,2020-02-05T00:00:00.000,2020-02-05T23:59:00.000,2020-02-06T07:30:00.000,Comethisfar,Cafe-Gallery,/events/1386050,2
Week #163 at Tivi,2020-02-06T00:00:00.000,2020-02-06T23:00:00.000,2020-02-10T05:00:00.000,"Bekuchi, Audio Space, Milo Häfliger, Roma J",Tivi Bar,/events/1385761,1
Bassiani / Horoom: Spielraum Night,2020-02-07T00:00:00.000,2020-02-07T23:59:00.000,2020-02-08T09:00:00.000,"MCMLXXXV, KI/KI, Polly F, Afra",Bassiani,/events/1377542,18
Folamour IN Tbilisi at Colibri,2020-02-07T00:00:00.000,2020-02-07T23:00:00.000,2020-02-08T09:00:00.000,Folamour,Colibri,/events/1365064,5
KHIDI 中 Reeko ❚ Amotik ❚ Michailo ❚ Yanamaste,2020-02-07T00:00:00.000,2020-02-07T23:59:00.000,2020-02-08T09:00:00.000,"Reeko, Amotik, Michailo, Yanamaste, Zurkin",KHIDI,/events/1385314,3
Peach • Parna • Ash Scholem • Generali Minerali • Nebbieri,2020-02-07T00:00:00.000,2020-02-07T23:00:00.000,2020-02-08T09:00:00.000,"Peach, Parna, Ash Scholem, Generali Minerali, nebbieri",Mtkvarze,/events/1380915,2
DRB by Home: Dj Hairy Palms / Giorgi Pipia,2020-02-07T00:00:00.000,2020-02-07T22:00:00.000,2020-02-08T03:00:00.000,,DRB by Art-Cafe Home,/events/1382596,1
Week #163 at Tivi,2020-02-06T00:00:00.000,2020-02-06T23:00:00.000,2020-02-10T05:00:00.000,"Bekuchi, Audio Space, Milo Häfliger, Roma J",Tivi Bar,/events/1385761,1
Cafe-Gallery: Tomma•bacho,2020-02-07T00:00:00.000,2020-02-07T23:59:00.000,2020-02-08T08:00:00.000,"Tomma, Bacho",Cafe-Gallery,/events/1387557,1
Cafe-Gallery: L9 • Cyber J,2020-02-08T00:00:00.000,2020-02-08T23:59:00.000,2020-02-09T07:30:00.000,,Cafe-Gallery,/events/1387827,1
Tivi & Sparklers Tribe present: Milo Häfliger,2020-02-08T00:00:00.000,2020-02-08T23:00:00.000,2020-02-09T06:00:00.000,"Milo Häfliger, Roma J",Tivi Bar,/events/1377040,1
DRB by Home: Dj Hairy Palms / Giorgi Pipia,2020-02-08T00:00:00.000,2020-02-08T22:00:00.000,2020-02-09T03:00:00.000,Giorgi Pipia,DRB by Art-Cafe Home,/events/1382598,1
Week #163 at Tivi,2020-02-06T00:00:00.000,2020-02-06T23:00:00.000,2020-02-10T05:00:00.000,"Bekuchi, Audio Space, Milo Häfliger, Roma J",Tivi Bar,/events/1385761,1
Week #163 at Tivi,2020-02-06T00:00:00.000,2020-02-06T23:00:00.000,2020-02-10T05:00:00.000,"Bekuchi, Audio Space, Milo Häfliger, Roma J",Tivi Bar,/events/1385761,1
