Event name,Date,Start Time,End Time,Artists,Venue,Event URL,Number of guests attending
1. Mai Rave / Free Entry,2017-05-01T00:00:00.000,2017-05-01T14:00:00.000,2017-05-02T10:00:00.000,"Phonique, David Keno, Leon Licht, Agent, Local Suicide, Ryan Dupree, iso*, Marion Cobretti, COBRETTI, Julian Rosh",Birgit,/events/955696,141
MS Renate - Boat Party,2017-05-01T00:00:00.000,2017-05-01T12:00:00.000,2017-05-01T21:00:00.000,"PBR Streetgang, Peak & Swift, 22Rockets",Renate,/events/952124,125
Erster Mai // First of May 2017,2017-05-01T00:00:00.000,2017-05-01T12:00:00.000,2017-05-02T12:00:00.000,Die Ueblichen Verdaechtigen,Club der Visionaere,/events/946218,108
1. Mai Bordel Des Arts Open Air,2017-05-01T00:00:00.000,2017-05-01T12:00:00.000,2017-05-02T14:00:00.000,"Ruede Hagelstein, Mat.Joe, KlangKuenstler, Pauli Pocket, Foolik, Dave Dinger, Sokool, Mr.Schug, Mike Book, Casimir von Oettingen, Electronic Elephant, Sam Shure, Daensen, JurieMember",Else,/events/939640,92
Ostgut Ton der Arbeit,2017-05-01T00:00:00.000,2017-05-01T12:00:00.000,2017-05-01T20:00:00.000,"Boris, Roi Perez, Somewhen",Berghain | Panorama Bar | Säule,/events/958042,78
S•a•s•o•m•o with Pillow Talk / Bedouin / Of Norway / Jake the Rapper / Red Robin,2017-04-29T00:00:00.000,2017-04-29T23:59:00.000,2017-05-02T16:00:00.000,"Sascha Braemer, Philip Bader, Tessuto, C-More, Bedouin, Of Norway, Jake the Rapper, Sascha Cawa, Red Robin, Kotelett&Zadak, Kotelett, Playlove, Marcus Meinhardt, Paul Gregor, Insanlar, Billy Caso, Fog Puma, Pauli Pocket, Daniel Jaeger, Mike Vamp, Peter Schumann, Soukie & Windish, Jama Deejay, The Sorry Entertainers",Kater Blau,/events/956170,72
Suol Open Air – 1. Mai,2017-05-01T00:00:00.000,2017-05-01T14:00:00.000,2017-05-02T22:00:00.000,"Jimpster, Chopstick & Johnjon, Cinthie, Till von Sein, Meggy, Pablo Fierro",Prince Charles,/events/953103,70
1. Mai Open Air x etc,2017-05-01T00:00:00.000,2017-05-01T10:00:00.000,2017-05-02T12:00:00.000,"Der Schmeisser, Dennis Calmer, Tomtomgroove, Acierate, Tham",Griessmuehle,/events/946553,63
1.Mai Meets Playdifferently,2017-05-01T00:00:00.000,2017-05-01T14:00:00.000,2017-05-02T10:00:00.000,"Hito, Fabio Florido, Carlo Ruetz, WHYT NOYZ, NOYZ, Damian.Thorn, Nadine Hennig, Buzz Goree",[ipsə],/events/945263,57
Pan-Pot: 1st of May - Watergate Terrace Day & Night,2017-05-01T00:00:00.000,2017-05-01T10:00:00.000,2017-05-02T08:00:00.000,"Pan-Pot, Martin Eyerer, Julia Govor, Michael Klein",Watergate,/events/964620,38
"1 May Freier Eintritt Open Air with Marcel Fengler, Shir Khan, Lola Luc & More",2017-05-01T00:00:00.000,2017-05-01T15:00:00.000,2017-05-02T10:00:00.000,"Marcel Fengler, Shir Khan, Lola Luc, Cromby, Chris Knipp, Sebastian Klenk, Mario Urien, High Had",Chalet,/events/960826,35
Electric Monday,2017-05-01T00:00:00.000,2017-05-01T23:00:00.000,2017-05-02T07:00:00.000,Frankie Flowerz,KitKatClub,/events/959712,31
1.mai mit Xminder,2017-05-01T00:00:00.000,2017-05-01T19:00:00.000,2017-05-02T07:00:00.000,Xminder,Minimal Bar,/events/942811,27
Telekollegen Open Air 1.Mai - Free Entry,2017-05-01T00:00:00.000,2017-05-01T12:00:00.000,2017-05-01T22:00:00.000,"Milou, Jack The Fish, Toni Haupt, Jekyll & Hyde, Daniel Archut, Sascha Aviar, John Tale, Nikklaas",Sage Beach Berlin,/events/961778,23
"1.Mai Koffäin with Mandy, Re.You, Emanuel Satie a.m",2017-05-01T00:00:00.000,2017-05-01T14:00:00.000,2017-05-01T22:00:00.000,"Re.You, Emanuel Satie, Ninetoes, Black Loops, Thabo, #INSTANTBONER, Turkish",Koffäin,/events/962716,20
Open Air - Fluid Soul x Radio Love Love x Money Sex,2017-05-01T00:00:00.000,2017-05-01T12:00:00.000,2017-05-01T22:00:00.000,"Twit One, Max Graef, Nano Nansen, Glenn Astro, Delfonic",Festsaal Kreuzberg,/events/951478,19
Vabrique Meets Avotre / 1. Mai Open Air N°9,2017-05-01T00:00:00.000,2017-05-01T13:00:00.000,2017-05-02T02:00:00.000,"Santé, Sidney Charles, Ninetoes, Emanuel Satie, Snacks Live, Spanks, Alexander Lorz, PEGAH",Vabrique,/events/957547,17
Monday Mood,2017-05-01T00:00:00.000,2017-05-01T20:00:00.000,2017-05-02T06:00:00.000,,Süss War Gestern,/events/954944,15
1st of May Open Air Gørlitzer Area_mongolfiere Libere_,2017-05-01T00:00:00.000,2017-05-01T12:00:00.000,2017-05-02T00:00:00.000,"Salvatore Foglia, Psycho & Plastic, Giorgio Superman, Ixindamix, Davide Bellini",Gorlitzer Park,/events/960870,15
1st of May Open Air at Görlitzer Park,2017-05-01T00:00:00.000,2017-05-01T10:00:00.000,2017-05-02T06:00:00.000,"Nicolas Duvoisin, Giorgio Maulini, Anta Dion, Chris Knipp, Leix, Dede, Anthony Megaro, Maria New Yen, Quentin Dcr",TBA - Berlin,/events/958038,14
