Event name,Date,Start Time,End Time,Artists,Venue,Event URL,Number of guests attending
"RFLXN x Fast Forward x Space Trax with Daria Kolosova, Cybersex, Elli Acula, Setaoc Mass, Plaza",2024-03-30T00:00:00.000,2024-03-30T23:59:00.000,2024-04-02T10:00:00.000,"ANNĒ, Beatrice (DE), Daria Kolosova, Elli Acula, Frederic., Henning Baer, Mohajer, Parallx, P.E.A.R.L., Peachlyfe, Schacke, Setaoc Mass, Sugar, Tapefeed, Volvox, Xiorro, Aeryeen, Cybersex, Frank Heise, Philipp Drube, Introversion, IWANN, Jacklyn, DJ IBON, Matriark, PSICOTEK, VILLA (DE)",RSO.BERLIN,/events/1859022,2039
Oster Klubnacht,2024-03-30T00:00:00.000,2024-03-30T23:59:00.000,2024-04-02T07:00:00.000,"Âme, DJ Holographic, DJ Rush, Gabrielle Kwarteng, Hiroko Yamamura, ItaloJohnson, Jimi Jules, Kai Alce, Kikelomo, Luke Slater, Palms Trax, Stacey Hotwaxx Hale, Steffi, abs8lute, Amotik, Dasha Rush, Dax J, Dustin Zahn, François X, Honey Dijon, Kyle Geiger, Lea Occhi, LOLSNAKE",Berghain | Panorama Bar | Säule,/events/1832992,441
SINGULARITY MONDAY RAVE ,2024-04-01T00:00:00.000,2024-04-01T23:00:00.000,2024-04-02T09:00:00.000,"The Brvtalist, STRISC., Clarisse",Renate,/events/1876269,243
ONE WORLD ON EGGSTASY PT.2,2024-03-30T00:00:00.000,2024-03-30T22:00:00.000,2024-04-02T09:00:00.000,"Sven Dohse, Sascha Cawa, miAs, limbic sis, Kieran Landwehr, Ida Daugaard, Elisa Elisa, Peter Schumann, Kotelett, Madota, PONY, Ata, Miss Melera, Öona Dahl, Norman Weber, Tim Engelhardt, Coss, REj (UK), Luca Nova, Eins Tiefer, doob, Janoma, Powel, Exildiscount, Redshape, Geju, Borella, Robin Dey, S Ruston, Tante Emma, Mira, Chris Schwarzwälder, MANTi, JOBE, Pauli Pocket, Foolik",Kater Blau,/events/1876457,134
Ringelpietz: scheißmukke All Day Long + Salty DJ,2024-04-01T00:00:00.000,2024-04-01T15:00:00.000,2024-04-02T03:00:00.000,"Salty DJ, degen, Dreimal T, mole (2), Ole Schönfeld",ÆDEN,/events/1838682,65
Electric Monday,2024-04-01T00:00:00.000,2024-04-01T22:00:00.000,2024-04-02T06:00:00.000,"Alejandro Molinari, Frankie Flowerz",KitKatClub,/events/1876058,51
SCHWERELOS OPEN AIR,2024-04-01T00:00:00.000,2024-04-01T14:00:00.000,2024-04-01T22:00:00.000,"Sommersonnenwende, DJ HÖRDE, Ben Derris, Linus Villa, FLAVE, Missing.DJ, Lukas Edler, MEEMA",TBA,/events/1889638,35
manic.monday mit Aramis,2024-04-01T00:00:00.000,2024-04-01T18:00:00.000,2024-04-02T06:00:00.000,,Minimal Bar,/events/1869776,8
Tegel Boys Live,2024-04-01T00:00:00.000,2024-04-01T21:00:00.000,2024-04-02T00:00:00.000,Tegel Boys,Sisyphos,/events/1894297,7
Mondays::,2024-04-01T00:00:00.000,2024-04-01T12:00:00.000,2024-04-02T04:00:00.000,"Alexander Skancke, Tripmastaz",Club der Visionaere,/events/1895189,5
