Event name,Date,Start Time,End Time,Artists,Venue,Event URL,Number of guests attending
encore.une.fois,2022-11-01T00:00:00.000,2022-11-01T23:00:00.000,2022-11-02T09:00:00.000,"Subjected, BNJMN, ALIS., Mario Worgall",ÆDEN,/events/1606457,212
THE UNKNOWN,2022-11-01T00:00:00.000,2022-11-01T22:00:00.000,2022-11-02T04:00:00.000,"gãl (SI), Johnny Legato",Süss War Gestern,/events/1603767,26
SMASH RAVE! Halloween,2022-11-01T00:00:00.000,2022-11-01T23:00:00.000,2022-11-02T08:00:00.000,,Der Weiße Hase,/events/1609783,22
go.play mit Aramis,2022-11-01T00:00:00.000,2022-11-01T18:00:00.000,2022-11-02T05:00:00.000,,Minimal Bar,/events/1595557,17
BeatGeeks with Jay Spaten,2022-11-01T00:00:00.000,2022-11-01T20:00:00.000,2022-11-02T02:00:00.000,,Monarch,/events/1608339,14
LAS presents Life After BOB,2022-11-01T00:00:00.000,2022-11-01T14:00:00.000,2022-11-01T22:30:00.000,,Halle,/events/1581988,12
HOR X Bastardo Electrico 20th Anniversary,2022-11-01T00:00:00.000,2022-11-01T19:00:00.000,2022-11-01T22:00:00.000,"Ben Sims, Sunil Sharpe, Alienata, Jamie Behan",HÖR Berlin,/events/1610821,10
Open Decks & Tischtennis - Open Air & Indoors,2022-11-01T00:00:00.000,2022-11-01T18:00:00.000,2022-11-02T04:00:00.000,,Humboldthain Club,/events/1608575,10
Kate Clover + Beat Degeneration,2022-11-01T00:00:00.000,2022-11-01T19:00:00.000,2022-11-02T02:00:00.000,,Loophole,/events/1608914,6
Rxchie,2022-11-01T00:00:00.000,2022-11-01T05:00:00.000,2022-11-02T07:30:00.000,,Columbiahalle,/events/1598115,1
Symbiotikka at KitKat Club // Space 92 / Drumcomplex,2022-11-02T00:00:00.000,2022-11-02T22:00:00.000,2022-11-03T07:00:00.000,"Space 92, Drumcomplex, Grace Thompson, PaKKo&Joy",KitKatClub,/events/1597844,65
FATBULOUS,2022-11-02T00:00:00.000,2022-11-02T20:00:00.000,2022-11-03T04:00:00.000,"Dornika, Stella Zekri",Monster Ronson's Ichiban Karaoke,/events/1594713,58
"Techno Mittwoch: QUANN, Isabelle Beauamp, DE.fine, ",2022-11-02T00:00:00.000,2022-11-02T23:00:00.000,2022-11-03T09:00:00.000,"Isabelle Beaucamp, DE.fine, QUANN",AVA Club,/events/1602683,54
Heroines Of Sound - Edition#2 (Concert & Film),2022-11-02T00:00:00.000,2022-11-02T20:00:00.000,2022-11-02T23:00:00.000,"Suzanne Ciani, Sarah Davachi, Robert Aiki Aubrey Lowe",Silent Green,/events/1605679,43
KREIDLER 'Spells and Daubs' release show,2022-11-02T00:00:00.000,2022-11-02T20:00:00.000,2022-11-03T01:00:00.000,Kreidler,arkaoda Berlin,/events/1608366,36
Rave am Mittwoch,2022-11-02T00:00:00.000,2022-11-02T23:00:00.000,2022-11-03T07:00:00.000,DIVISIO,M-BIA,/events/1602535,29
Tresor New Faces hosted by Maedon,2022-11-02T00:00:00.000,2022-11-02T23:59:00.000,2022-11-03T09:00:00.000,"Berlin Bunny, EAS (US), R-ODERICK, Stashole",Tresor / Globus,/events/1609336,24
Joplyn,2022-11-02T00:00:00.000,2022-11-02T20:00:00.000,2022-11-02T23:00:00.000,Joplyn,Kantine am Berghain,/events/1597615,19
MYKKI BLANCO,2022-11-02T00:00:00.000,2022-11-02T19:30:00.000,2022-11-02T23:30:00.000,Mykki Blanco,Gretchen,/events/1560752,19
"Pathways Pitchdown with Repeating Path, Yannick",2022-11-02T00:00:00.000,2022-11-02T22:00:00.000,2022-11-03T06:00:00.000,"Repeating Path, Yannik",Crack Bellmer,/events/1606131,16
"Rainbow Rhythms w. Assyouti, Atzenboogy, Carne b2b Tempestfeather, Kiawash",2022-11-02T00:00:00.000,2022-11-02T21:00:00.000,2022-11-03T03:00:00.000,"Assyouti, Carne, Tempestfeather, Kiawash",Repeat,/events/1607795,8
mittendrin mit Georg Hekt,2022-11-02T00:00:00.000,2022-11-02T18:00:00.000,2022-11-03T05:00:00.000,Georg Hekt,Minimal Bar,/events/1595558,7
LAS presents Life After BOB,2022-11-02T00:00:00.000,2022-11-02T14:00:00.000,2022-11-02T22:30:00.000,,Halle,/events/1581989,0
Easy Vibes,2022-11-02T00:00:00.000,2022-11-02T18:00:00.000,2022-11-03T01:00:00.000,,Solar,/events/1599106,0
Horse Lords,2022-11-03T00:00:00.000,2022-11-03T20:00:00.000,2022-11-03T22:00:00.000,,Silent Green,/events/1610012,0
012 Label Night,2022-11-03T00:00:00.000,2022-11-03T22:00:00.000,2022-11-04T06:00:00.000,"Claudio PRC, Luigi Tozzi, Laura BCR",OHM,/events/1595258,160
"Room Trax w/ Lea Occhi, Lobster",2022-11-03T00:00:00.000,2022-11-03T21:00:00.000,2022-11-04T07:00:00.000,"CRYME, Lea Occhi, Lobster (NL), Yuri (DE)",ÆDEN,/events/1577065,89
Variety feat Station Endlos,2022-11-03T00:00:00.000,2022-11-03T23:00:00.000,2022-11-04T10:00:00.000,"Casimir von Oettingen, Electronic Elephant, Sonnensysteme, freedomB, Ele Luz, SHA (DE), Krisis",Renate,/events/1607557,82
"Feral Kind w/ TEHOTU, RLK18, Aylin Idah ",2022-11-03T00:00:00.000,2022-11-03T22:30:00.000,2022-11-04T07:00:00.000,"TEHOTU, agua con gas, RLK18, AYLIN IDAH",OXI,/events/1598365,70
