Event name,Date,Start Time,End Time,Artists,Venue,Event URL,Number of guests attending
Raveletics After Work,2022-06-01T00:00:00.000,2022-06-01T18:00:00.000,2022-06-01T23:59:00.000,"Stina Francina, Schicktanz, Vysion, Nussi, Patrik Dayz",Re:mise,/events/1537075,52
Rave am Mittwoch,2022-06-01T00:00:00.000,2022-06-01T23:00:00.000,2022-06-02T06:00:00.000,"SenAex, Reesix",M-BIA,/events/1539456,33
Techno Mittwoch,2022-06-01T00:00:00.000,2022-06-01T23:00:00.000,2022-06-02T10:00:00.000,"BB Deng, Ghaithh",AVA Club,/events/1534098,31
Tresor New Faces,2022-06-01T00:00:00.000,2022-06-01T23:59:00.000,2022-06-02T09:00:00.000,"Beatrice (DE), Cecilia Tosh, Viels",Tresor / Globus,/events/1541872,27
"HuLa-Hoop #2 with Manski b2b YARA, Seeleâ, Anselmus",2022-06-01T00:00:00.000,2022-06-01T22:00:00.000,2022-06-02T06:00:00.000,Anselmus,Crack Bellmer,/events/1539584,9
mittendrin mit Isaac Elejalde,2022-06-01T00:00:00.000,2022-06-01T18:00:00.000,2022-06-02T06:00:00.000,Isaac Elejalde,Minimal Bar,/events/1525191,4
Mitraille/Hekla,2022-06-01T00:00:00.000,2022-06-01T19:00:00.000,2022-06-02T00:00:00.000,Hekla,Loophole,/events/1529711,3
Perfumed Freedom,2022-06-01T00:00:00.000,2022-06-01T15:00:00.000,2022-06-02T07:00:00.000,"Losoul, Frieder Klaris, Foehn & Jerome",Club der Visionaere,/events/1539357,2
TRANARCHY,2022-06-02T00:00:00.000,2022-06-02T21:00:00.000,2022-06-03T11:00:00.000,"BalaBimbambum, Dirty Daddy Don, Folly Ghost, Lovefoxy, The Shredder, VINVAR",Renate,/events/1522095,204
Subverted. GROWING ANXIOUSNESS + Workshop on Music Production,2022-06-02T00:00:00.000,2022-06-02T23:59:00.000,2022-06-03T08:00:00.000,"hybral, Carlotta Jacobi, Peryl, Nnamael, Fluid, Linn Elisabet",://about blank,/events/1525157,48
OG - Pre-Pfingstrave [Bunker & Beach Garden],2022-06-02T00:00:00.000,2022-06-02T22:00:00.000,2022-06-03T05:00:00.000,"Mad Hattress, Just Mo, Yami, ABuDi",Salzclub,/events/1539927,45
Mister Bear,2022-06-02T00:00:00.000,2022-06-02T23:00:00.000,2022-06-03T06:00:00.000,"Alexander Paulski, Eva Crystaltips",Paloma,/events/1531070,41
"Impress: Marco Effe, Weg, A Sagittariun, Katie Drover",2022-06-02T00:00:00.000,2022-06-02T23:59:00.000,2022-06-03T12:00:00.000,"Marco Effe, Weg (DE), A Sagittariun, Katie Drover, Mad Dim",Watergate,/events/1537052,40
Ambient Sleepers #6,2022-06-02T00:00:00.000,2022-06-02T19:30:00.000,2022-06-02T23:30:00.000,"Valentin Ginies, Elek Ember",TBA - Berlin,/events/1537168,26
"The Birth of Techno - From Detroit nach Berlin with K15, Whodat, Sanctuary",2022-06-02T00:00:00.000,2022-06-02T22:00:00.000,2022-06-03T06:00:00.000,"K15, Sanctuary, Whodat",Tresor / Globus,/events/1541476,25
"Studio Sixtynine: Meakat b2b Fabrikulus, Johnny Legato b2b Balou, Julian Crue",2022-06-02T00:00:00.000,2022-06-02T23:00:00.000,2022-06-03T05:00:00.000,"Fabrikulus, Johnny Legato",Bulbul Berlin,/events/1535220,20
THE UNKNOWN,2022-06-02T00:00:00.000,2022-06-02T22:00:00.000,2022-06-03T02:00:00.000,disco darnowski,Zu Mir Oder Zu Dir,/events/1537855,16
BRO Back to Summer,2022-06-02T00:00:00.000,2022-06-02T17:00:00.000,2022-06-03T01:00:00.000,,Sage Beach Berlin,/events/1537098,15
System Error,2022-06-02T00:00:00.000,2022-06-02T15:00:00.000,2022-06-03T06:00:00.000,"DJ Tjizza, Frozilla, Kamyar Keramati, Travis or Alice",Club der Visionaere,/events/1540634,12
electronic.thursday mit Javier Anxiety,2022-06-02T00:00:00.000,2022-06-02T18:00:00.000,2022-06-03T06:00:00.000,Javier Anxiety,Minimal Bar,/events/1522250,11
ritmo666 night,2022-06-02T00:00:00.000,2022-06-02T22:00:00.000,2022-06-03T06:00:00.000,"Dj Rafael, Lucas Vazz, Qasio, Lowfeli, Mr. Down",Crack Bellmer,/events/1533850,10
House Party,2022-06-02T00:00:00.000,2022-06-02T20:00:00.000,2022-06-03T04:00:00.000,"OK Jones, Dave Thorley",Repeat,/events/1537057,8
d.OHA!se / Techno,2022-06-02T00:00:00.000,2022-06-02T22:00:00.000,2022-06-03T08:00:00.000,"DAV3, Tanz Unter Freunden, ED2000",Der Weiße Hase,/events/1541870,14
Step higher,2022-06-02T00:00:00.000,2022-06-02T23:00:00.000,2022-06-03T06:30:00.000,"Liondub, Upzet, Squamata, Isomeric",Void Club,/events/1537371,6
Donnerdogge,2022-06-02T00:00:00.000,2022-06-02T23:59:00.000,2022-06-03T13:00:00.000,"Milou, Kahru, Rozin, Kenji Tazaki",Golden Gate,/events/1540433,6
Picante el Son - Non-binary salsa,2022-06-02T00:00:00.000,2022-06-02T19:00:00.000,2022-06-03T02:00:00.000,,Christa Kupfer,/events/1542116,6
