Event name,Date,Start Time,End Time,Artists,Venue,Event URL,Number of guests attending
encore.une.fois / TUESDAY TECHNO RAVE,2024-10-01T00:00:00.000,2024-10-01T23:00:00.000,2024-10-02T09:00:00.000,"VSK, .Cheka, BLACK ANTHEM RESTORE, Avilynn",OXI,/events/2008032,220
Smash & HART - 2 Floors & Garden,2024-10-01T00:00:00.000,2024-10-01T23:00:00.000,2024-10-02T08:00:00.000,,Der Weiße Hase,/events/1993227,61
Open Decks & Tischtennis,2024-10-01T00:00:00.000,2024-10-01T18:00:00.000,2024-10-02T04:00:00.000,,Humboldthain Club,/events/1980564,17
THE UNKNOWN,2024-10-01T00:00:00.000,2024-10-01T20:00:00.000,2024-10-02T03:00:00.000,alegreO,Süss War Gestern,/events/2008649,13
Sound-Healing Retreat: A Deep Immersive Sonic Experience - LIVE,2024-10-01T00:00:00.000,2024-10-01T19:00:00.000,2024-10-01T21:00:00.000,"AMBIENTES KOLLEKTIV, Saumeth",Astral Junction,/events/2012878,7
go.play mit Stevn Kaiser,2024-10-01T00:00:00.000,2024-10-01T18:00:00.000,2024-10-02T04:00:00.000,,Minimal Bar,/events/1983728,6
Around The Körner #1 with Strange:Love,2024-10-01T00:00:00.000,2024-10-01T20:00:00.000,2024-10-01T23:59:00.000,,Orangerie Neukölln,/events/2012497,5
Zu Mir Oder Zu Dir,2024-10-01T00:00:00.000,2024-10-01T22:00:00.000,2024-10-02T01:00:00.000,DJ EFE,Zu Mir Oder Zu Dir,/events/2014558,0
MAYHEM x SESH,2024-10-02T00:00:00.000,2024-10-02T21:30:00.000,2024-10-03T08:00:00.000,"MCR-T, Clara Cuvé, Pegassi, Franck, Mika Heggemann, Alex Friday, HATHOR",Astra Kulturhaus,/events/1974830,1424
BODIES [UNITED],2024-10-02T00:00:00.000,2024-10-02T22:00:00.000,2024-10-03T11:00:00.000,"DBBD, Chippy Nonstop, SHOKI287, DJ Cringey, Only Fire, Justin Tinderdate, OSKAR., 41ISSA, ALI3N, Gutto Serta, SIBAST, SENERGI, ANTHRAZIT",ÆDEN,/events/1916310,727
CROSSOVER,2024-10-02T00:00:00.000,2024-10-02T23:00:00.000,2024-10-03T11:00:00.000,"Francesco Del Garda, Christian AB, Quest (IT), Laura Fiore",ZENNER,/events/1940153,654
HEISSS [unity],2024-10-02T00:00:00.000,2024-10-02T23:59:00.000,2024-10-03T10:00:00.000,"Disguised, DJ Hyperdrive, Hyperaktivist, Salty DJ, Volvox, Árni, Baraka, Miran N",RSO.BERLIN,/events/1884176,628
Convent w./ Basswell,2024-10-02T00:00:00.000,2024-10-02T23:00:00.000,2024-10-03T07:00:00.000,"Basswell, Jules Devi, Lene Ma Rue, Katy Rough, Schicktanz, Vysion, BENZA, K. Luisa",OST,/events/2002318,557
OXI Invites: Upper90,2024-10-02T00:00:00.000,2024-10-02T23:00:00.000,2024-10-03T10:00:00.000,"Upper90, 0megavybe, Butschi, DJ Wenzel, fumi.(DE), HEDDA, PSL, Shanda, Spacer Woman, tamarawrx3, babyheat",OXI,/events/1990051,391
Free Party,2024-10-02T00:00:00.000,2024-10-02T23:00:00.000,2024-10-03T07:00:00.000,"Flow TNTS, Bæmbus, Upzet, Aynaet, Ed Shepherd",Void Club,/events/1994883,389
"Tag der Clubkultur - FREE ENTRY ALL DAY & NIGHT - Party, Art, Market - 26 Hours Program",2024-10-02T00:00:00.000,2024-10-02T20:00:00.000,2024-10-03T22:00:00.000,"Lask, Cecilia Tosh, Mathys Lenne, Alexkid, Olga Korol, Garo, Johannes Albert, Franz Scala, Meggy, Bonq, francesca (2), MELLA MARA, NiKi K, SASKiA, Exildiscount, Leon Licht, GEMO",Renate,/events/2002813,318
SYMBIOTIKKA GODDESSES at KitKat Club,2024-10-02T00:00:00.000,2024-10-02T20:00:00.000,2024-10-03T09:00:00.000,"STELLA BOSSI, Anna Tur, A.N.I., Sylvie Miles, KIM AHLF, Stuckeyrella, Millie Forsberg, Cara Elizabeth, Melanchromie, LadyBird aka C.J. Parker, GVEMEACD",KitKatClub,/events/1990339,311
28 Years Recycle + Blackout: Black Sun Empire + Audio + YOUPHORIA,2024-10-02T00:00:00.000,2024-10-02T23:00:00.000,2024-10-03T06:30:00.000,"Black Sun Empire, Audio, Survey, Mc Jamie White, Tommy Lexxus, Turrican",Gretchen,/events/1968588,230
"SEK Most Wanted // Bounce Edition w ESCA, IDCS, EBB, Stinny Stone",2024-10-02T00:00:00.000,2024-10-02T23:00:00.000,2024-10-03T08:00:00.000,"ESCA (3), XIMA, DJ Blockflöte 2000, DJ S3XERCISE, DJ Botanika, ISA (ES), brvder jakob, Cobb Douglas, Stinny Stone",Lokschuppen Berlin,/events/2002092,221
TECHNO MITTWOCH: TUNNEL/TURBINE/GARDEN (Irish Sound),2024-10-02T00:00:00.000,2024-10-02T23:00:00.000,2024-10-03T10:00:00.000,"Dj Fugitive, Magoo_, JenTen, TAUREAN (2), Chaz Moloney, Máthair, CHARMUR, Ryan Conway, Ruby (2)",AVA Club,/events/1968397,208
'Groove ON' Fundraiser,2024-10-02T00:00:00.000,2024-10-02T23:00:00.000,2024-10-03T15:00:00.000,"Acidfinky, AGY3NA, Amy Dabbs, Franziska Berns, Losoul, Markus Suckut, Robert Owens, Alarico, Chlär, Anthony Rother, Amotik, Lucinee, Mark Broom, Nastia, Shed, Cristalyne, Harry Nipples, JAMera",Tresor / Globus,/events/2010079,124
