Event name,Date,Start Time,End Time,Artists,Venue,Event URL,Number of guests attending
Encore.une.Fois *Techno Edition*,2016-11-01T00:00:00.000,2016-11-01T23:59:00.000,2016-11-02T12:00:00.000,"Guido Schneider, SIOPIS, Michael Placke",Lokschuppen Berlin,/events/893381,73
Play Me.With DJ T.&Philipp Jung [Get Physical] The Tonal Island,2016-11-01T00:00:00.000,2016-11-01T23:59:00.000,2016-11-02T09:00:00.000,"DJ T., WC0016, Julian Rosh, Mario Urien, Robert Zimmermann",Chalet,/events/896349,44
Go.Play mit Mario Lauriano,2016-11-01T00:00:00.000,2016-11-01T19:00:00.000,2016-11-02T06:00:00.000,Mario Lauriano,Minimal Bar,/events/885187,34
Tuesday Tales,2016-11-01T00:00:00.000,2016-11-01T19:00:00.000,2016-11-02T05:00:00.000,,Süss War Gestern,/events/887165,28
The Unknown presents Better Call Paul,2016-11-01T00:00:00.000,2016-11-01T22:00:00.000,2016-11-02T02:00:00.000,Better Call Paul,Mein Haus Am See,/events/886690,27
Der Tischtennis Club & Open Decks,2016-11-01T00:00:00.000,2016-11-01T20:00:00.000,2016-11-02T04:00:00.000,,Humboldthain Club,/events/893436,27
Die Seligen Augenblicke mit Tony Puerto,2016-11-01T00:00:00.000,2016-11-01T19:00:00.000,2016-11-02T04:00:00.000,Tony Puerto,Promenaden Eck,/events/884672,24
Jessy Lanza,2016-11-01T00:00:00.000,2016-11-01T21:00:00.000,2016-11-01T23:59:00.000,Jessy Lanza,Kantine am Berghain,/events/882076,7
Bellmeria,2016-11-01T00:00:00.000,2016-11-01T20:00:00.000,2016-11-02T06:00:00.000,"Alex Monster, Kat Kat Tat",Crack Bellmer,/events/894942,2
Pong Club with Anthony Burke,2016-11-01T00:00:00.000,2016-11-01T20:00:00.000,2016-11-02T02:00:00.000,,Griessmuehle,/events/896734,2
Golden Times Special Edition,2016-11-01T00:00:00.000,2016-11-01T23:59:00.000,2016-11-02T15:00:00.000,"Robert Owens, Ida Daugaard, KNIPP, Lepus 8",Golden Gate,/events/896195,28
Dienstags,2016-11-01T00:00:00.000,2016-11-01T23:00:00.000,2016-11-02T08:00:00.000,Jacob Phono,Magdalena,/events/896254,25
"Trade with Jam City, Lechuga Zafiro & More",2016-11-02T00:00:00.000,2016-11-02T22:30:00.000,2016-11-03T06:30:00.000,"Jam City, Lechuga Zafiro, Simon Kaiser, NYYN",OHM,/events/890664,57
The Hardtechno Only Edition,2016-11-02T00:00:00.000,2016-11-02T23:59:00.000,2016-11-03T06:00:00.000,"Pet Duo, Zak McCoy",Void Club,/events/893931,35
Mittendrin mit Matthias Horn,2016-11-02T00:00:00.000,2016-11-02T19:00:00.000,2016-11-03T18:00:00.000,Matthias Horn,Minimal Bar,/events/885188,30
Tresor New Faces,2016-11-02T00:00:00.000,2016-11-02T23:59:00.000,2016-11-03T12:00:00.000,"Chris Koegler, Dotwav",Tresor / Globus,/events/889066,27
Techno Mittwoch,2016-11-02T00:00:00.000,2016-11-02T23:00:00.000,2016-11-03T08:00:00.000,"Elias, Lukas Meunier",AVA Club,/events/894272,24
The Unknown presents David Klée & Gregor Rost,2016-11-02T00:00:00.000,2016-11-02T22:00:00.000,2016-11-03T03:00:00.000,,Süss War Gestern,/events/886674,22
Souvenir,2016-11-02T00:00:00.000,2016-11-02T23:59:00.000,2016-11-03T10:00:00.000,"Tiefschwarz, CYRK, Yawk, Norman Methner",Watergate,/events/892460,20
ein Mittwoch mit Safer at Night,2016-11-02T00:00:00.000,2016-11-02T23:00:00.000,2016-11-03T06:30:00.000,"Curses, Jägerverb",Farbfernseher,/events/897365,17
Endless Sea,2016-11-02T00:00:00.000,2016-11-02T20:15:00.000,2016-11-03T06:00:00.000,"Bruder Jakob, Rolandson",Crack Bellmer,/events/894943,9
Halbzeit mit Nadav,2016-11-02T00:00:00.000,2016-11-02T19:00:00.000,2016-11-03T04:00:00.000,,Promenaden Eck,/events/895765,9
Die Jungen Wilden,2016-11-02T00:00:00.000,2016-11-02T23:00:00.000,2016-11-03T10:00:00.000,"Kyoso, Matt Morra, Wasserwalker",Magdalena,/events/886111,7
Adam Basanta / Alois Yang,2016-11-02T00:00:00.000,2016-11-02T19:30:00.000,2016-11-03T01:00:00.000,Adam Basanta,Spektrum,/events/897352,7
"Well DONE! - Björn Störig, Freedom B, Mr Schug",2016-11-02T00:00:00.000,2016-11-02T23:00:00.000,2016-11-03T08:00:00.000,"Björn Störig, freedomB, Mr.Schug",Lokschuppen Berlin,/events/897589,4
Drafted: Flip R.,2016-11-02T00:00:00.000,2016-11-02T21:00:00.000,2016-11-03T05:00:00.000,,HRD Bar,/events/895718,2
Bass Club,2016-11-02T00:00:00.000,2016-11-02T23:00:00.000,2016-11-03T04:45:00.000,Grzly Adams,Cassiopeia,/events/895921,1
Hityawitthat Radio,2016-11-02T00:00:00.000,2016-11-02T20:00:00.000,2016-11-03T01:00:00.000,HitYaWitThat,Panke,/events/896932,1
Electronicnodymove,2016-11-02T00:00:00.000,2016-11-02T23:00:00.000,2016-11-03T06:00:00.000,"Frieder Klaris, Franky Greiner",Paloma,/events/908352,1
Alborosie & Shengen Clan,2016-11-02T00:00:00.000,2016-11-02T20:00:00.000,2016-11-03T04:00:00.000,,YAAM Berlin,/events/887333,0
C Duncan,2016-11-02T00:00:00.000,2016-11-02T20:00:00.000,2016-11-03T04:00:00.000,,Grüner Salon Der Volksbühne,/events/865843,0
Unrush,2016-11-03T00:00:00.000,2016-11-03T19:00:00.000,2016-11-03T23:30:00.000,"Robert Babicz, Post Scriptum, Mareena",Kulturraum Zwingli Kirche e.V.,/events/882306,143
"Donnersducks with Boy Next Door, Steve Ward, Sven Laux, Aramis, Marion Cobretti",2016-11-03T00:00:00.000,2016-11-03T23:59:00.000,2016-11-04T07:00:00.000,"Boy Next Door, Steve Ward, Sven Laux, Marion Cobretti",Ritter Butzke,/events/886981,128
"Retrograde with Greg Beato, Willie Burns & Cashmere Radio",2016-11-03T00:00:00.000,2016-11-03T23:00:00.000,2016-11-04T09:00:00.000,"Greg Beato, Willie Burns, Mor Elian, Lola Luc, Gramrcy, Marlon Hoffstadt, Matteo Luis, Natureboy Gold, Carl Luis",://about blank,/events/887787,116
"Lost.Souls with Yetti Meissner, Dekai, LEE Jokes",2016-11-03T00:00:00.000,2016-11-03T23:00:00.000,2016-11-04T11:00:00.000,"Yetti Meißner, deKai, Lee Jokes, Tim Koma, Visum",Burg Schnabel,/events/887786,98
Antidote,2016-11-03T00:00:00.000,2016-11-03T23:59:00.000,2016-11-04T09:00:00.000,"Gian, Prantel, Púca, Hang Aoki",Griessmuehle,/events/889913,57
Rituals Hosted by Adapted Booking,2016-11-03T00:00:00.000,2016-11-03T23:00:00.000,2016-11-04T08:00:00.000,"Error Etica, T KODE, Joseph McGeechan",Lokschuppen Berlin,/events/889751,46
"Hummmpday /w. Turmspringer, Tobi Dei, Santiago Lecce & More",2016-11-03T00:00:00.000,2016-11-03T23:59:00.000,2016-11-04T09:00:00.000,"Turmspringer, Santiago Lecce, Coco, SiD",Renate,/events/893479,28
Thank you Thursday,2016-11-03T00:00:00.000,2016-11-03T19:00:00.000,2016-11-04T06:00:00.000,"Ingenieur Plaschek, Nicola Fornasier",Süss War Gestern,/events/887173,24
"Delicious Dishes with Siopis, Meggy, Nils Twachtmann & More",2016-11-03T00:00:00.000,2016-11-03T23:59:00.000,2016-11-04T09:00:00.000,"SIOPIS, Meggy, Nils Twachtmann, Daniel Jaeger",Chalet,/events/893999,20
Warehouse Party,2016-11-03T00:00:00.000,2016-11-03T22:00:00.000,2016-11-04T05:00:00.000,Ron Wilson,TBA - Berlin,/events/895712,19
Electronic.Thursday mit Jago K.,2016-11-03T00:00:00.000,2016-11-03T19:00:00.000,2016-11-04T06:00:00.000,Jago K.,Minimal Bar,/events/891438,18
Elektronischer Donnerstag: Boyola,2016-11-03T00:00:00.000,2016-11-03T23:00:00.000,2016-11-04T08:00:00.000,"Mauro Feola, Deepneue, Brian Ring",Schwuz,/events/892944,16
Licious Stammtisch with Jama,2016-11-03T00:00:00.000,2016-11-03T20:00:00.000,2016-11-04T06:00:00.000,,Crack Bellmer,/events/894944,15
John Grant,2016-11-03T00:00:00.000,2016-11-03T19:00:00.000,2016-11-03T23:00:00.000,,Berghain | Panorama Bar | Säule,/events/851757,15
Thursday Proggy,2016-11-03T00:00:00.000,2016-11-03T23:00:00.000,2016-11-04T08:00:00.000,,Magdalena,/events/893596,12
Rebound Lounge - Releaseparty/In Store Hangout,2016-11-03T00:00:00.000,2016-11-03T17:00:00.000,2016-11-03T21:00:00.000,"DJ Fett Burger, Double Dancer",Sound Metaphors,/events/896937,12
Horch,2016-11-03T00:00:00.000,2016-11-03T23:00:00.000,2016-11-04T09:00:00.000,,AVA Club,/events/898387,12
ein Donnerstag mit Vonda7 & SLF,2016-11-03T00:00:00.000,2016-11-03T23:00:00.000,2016-11-04T07:00:00.000,"VONDA7, Lost&Found, S L F",Farbfernseher,/events/897366,10
Trapaholic Thursday,2016-11-03T00:00:00.000,2016-11-03T19:00:00.000,2016-11-04T04:00:00.000,,Promenaden Eck,/events/895766,9
A Thursday Between the Soup and the Potatoes,2016-11-03T00:00:00.000,2016-11-03T22:00:00.000,2016-11-04T04:00:00.000,"Exalt, Grant Camov, Loose Joints, Gratts",Sameheads,/events/896422,8
Pon't Danic presents: Will and The People,2016-11-03T00:00:00.000,2016-11-03T19:00:00.000,2016-11-03T23:00:00.000,,Gretchen,/events/871670,6
&friends,2016-11-03T00:00:00.000,2016-11-03T21:00:00.000,2016-11-04T05:00:00.000,"Maik Yells, Ed Herbst, Hugo Barritt",60 Hz,/events/896511,5
Donnerdogge,2016-11-03T00:00:00.000,2016-11-03T23:59:00.000,2016-11-04T15:00:00.000,"Perel, Rafael Da Cruz, Edgar Peng",Golden Gate,/events/895775,3
Elektrodonnerstag,2016-11-03T00:00:00.000,2016-11-03T22:00:00.000,2016-11-04T09:00:00.000,dinaLiks,Der Weiße Hase,/events/890691,2
"Sister: Soldal, Lefeu, Yhayha & Linnéa",2016-11-03T00:00:00.000,2016-11-03T22:00:00.000,2016-11-04T02:00:00.000,"Soldal, LEFEU, LINNÉA",Acud Macht NEU,/events/896255,2
Townhousemusic Meets Eintakt Night,2016-11-03T00:00:00.000,2016-11-03T22:00:00.000,2016-11-04T06:00:00.000,Sub Human Bros,Paloma,/events/897663,2
Calibro 35,2016-11-03T00:00:00.000,2016-11-03T20:00:00.000,2016-11-04T04:00:00.000,,Kulturbrauerei,/events/873255,1
Bubaka: Michael Lovatt,2016-11-03T00:00:00.000,2016-11-03T21:00:00.000,2016-11-04T05:00:00.000,Michael Lovatt,HRD Bar,/events/895202,1
So Klingt der Sonntag Feat. Erico Falcone,2016-11-03T00:00:00.000,2016-11-03T22:00:00.000,2016-11-04T02:00:00.000,,An Einem Sonntag Im August,/events/898541,1
Fckng Serious Pres. Boris Brejcha,2016-11-04T00:00:00.000,2016-11-04T23:00:00.000,2016-11-05T09:00:00.000,"Boris Brejcha, Ann Clue, Deniz Bul, Theydream",[ipsə],/events/889841,307
"House District Berlin w Paul Johnson, DJ QU, Volcov & More",2016-11-04T00:00:00.000,2016-11-04T23:00:00.000,2016-11-05T17:00:00.000,"Lars Bartkuhn, Paul Johnson, DJ Qu, Volcov, Hiver, Andrea Fiorito, Faktorm",Hoppetosse,/events/887612,238
"Frisch gestrichen! with Mat.Joe, Klangkuenstler, Empro, a.o",2016-11-04T00:00:00.000,2016-11-04T23:59:00.000,2016-11-05T10:00:00.000,"Mat.Joe, KlangKuenstler, Empro, Martha van Straaten, Bogdan, Die Phil",Ritter Butzke,/events/893995,100
…get Perlonized,2016-11-04T00:00:00.000,2016-11-04T23:59:00.000,2016-11-05T12:00:00.000,"Wareika, DJ Sprinkles, Sammy Dee, Zip",Berghain | Panorama Bar | Säule,/events/890630,92
Sampling As An Art Exposé,2016-11-04T00:00:00.000,2016-11-04T23:00:00.000,2016-11-05T08:00:00.000,"Cuthead, Roman Rauch, S3A",Prince Charles,/events/875795,87
Damage Night with Mark Broom,2016-11-04T00:00:00.000,2016-11-04T23:59:00.000,2016-11-05T10:00:00.000,"Mark Broom, Alexander Kowalski, Housemeister, Steve Ward",Lokschuppen Berlin,/events/872389,82
Entropie,2016-11-04T00:00:00.000,2016-11-04T23:59:00.000,2016-11-05T12:00:00.000,"Thomas Hessler, Sev Dah, Remco Beekwilder, Legat, Alberty",Arena Club,/events/890365,76
"Freitag mit Emika, Borusiade, Savas Pascalidis, Bufiman & Oliver Deutschmann",2016-11-04T00:00:00.000,2016-11-04T22:00:00.000,2016-11-05T22:00:00.000,"Emika, Savas Pascalidis, Sweatshop, Esposito, Michael Nadjé, Borusiade, Bufiman, Camp Inc., Oliver Deutschmann, Grosser, Cygnus, Rudolph Beuys",Griessmuehle,/events/891184,71
Finowzoo Opening Season,2016-11-04T00:00:00.000,2016-11-04T23:00:00.000,2016-11-05T08:00:00.000,"Riccardo (IT), Leiris, Aline Raphael, Toxido Mask",Beate Uwe,/events/888368,64
Discos Capablanca Label Night,2016-11-04T00:00:00.000,2016-11-04T23:59:00.000,2016-11-05T09:00:00.000,"Rouge Mécanique, Capablanca, Odopt, Jay Mond, C.P.I., Benji DF",Humboldthain Club,/events/889560,55
Vitamin,2016-11-04T00:00:00.000,2016-11-04T23:59:00.000,2016-11-05T11:00:00.000,"Extrawelt, Christian Löffler, Marco Resmann, Clé, Eva Be, LoYoTo, Patlac, Metro",Watergate,/events/893126,47
Unbekannt #1,2016-11-04T00:00:00.000,2016-11-04T23:59:00.000,2016-11-05T09:00:00.000,"Unbekannt, Paul Schal, Nostique, Kim Gangmin, Utopyk Jones, El Fulminador",Urban Spree,/events/889376,43
Tresor Meets Polegroup,2016-11-04T00:00:00.000,2016-11-04T23:59:00.000,2016-11-05T12:00:00.000,"Mike Dehnert, Kenneth Christiansen, RNDM, Handmade, Pfirter, Tensal, Tripeo",Tresor / Globus,/events/893009,39
"Tanz aus der Reihe with Leon Licht, Dekai, Mr.Schug uvm",2016-11-04T00:00:00.000,2016-11-04T23:59:00.000,2016-11-05T10:00:00.000,"Leon Licht, Pascale Voltaire, Casimir von Oettingen, Daniel Schumann, Lucas Tesoin, Dunkel.bunt",Polygon Club,/events/886236,34
Love Techno - Hate Germany,2016-11-04T00:00:00.000,2016-11-04T23:59:00.000,2016-11-05T11:00:00.000,"La Fraicheur, A.N.I.C.E., Akmê, Tsorn, Tim Niwo",://about blank,/events/892392,33
"Renates Heimkinder /w. Talul, Francis, Sylvie Maziarz & More",2016-11-04T00:00:00.000,2016-11-04T23:59:00.000,2016-11-05T12:00:00.000,"Talul, Swam:Thing, Sylvie Maziarz, ROEGLIN, Ole Niedermauntel, Tim Dörre, high.co.coon, Wewerka, Jack Jenson",Renate,/events/893023,33
Enter the Void - Phase 3,2016-11-04T00:00:00.000,2016-11-04T23:00:00.000,2016-11-05T08:00:00.000,"Upzet, Justice, Enantion",Void Club,/events/892666,32
"Music Lab with Chaos In The CBD, Ewan Pearson, Vonda7 and Mtba",2016-11-04T00:00:00.000,2016-11-04T23:59:00.000,2016-11-05T09:00:00.000,"Chaos In The CBD, Ewan Pearson, Daniel Dreier, VONDA7, Johnny Kaos",Chalet,/events/893900,32
Well Good Do: Dub Phizix & Strategy,2016-11-04T00:00:00.000,2016-11-04T23:59:00.000,2016-11-05T08:00:00.000,"Dub Phizix, Chimpo, Levelz, Soulmind, XLII, Rachel Green",Gretchen,/events/878402,29
Civilized,2016-11-04T00:00:00.000,2016-11-04T23:00:00.000,2016-11-05T07:00:00.000,"Dilby, Tyler Brunton, Martin Ka",Bohnengold,/events/891406,26
Ableton x CTM - Concert,2016-11-04T00:00:00.000,2016-11-04T20:00:00.000,2016-11-05T06:00:00.000,"Elysia Crampton, Chino Amobi, Why Be, Brood Ma, Fatima Al Qadiri, Ziúr, Kyoka, DJ Earl, Born in Flamez, Philip Sherburne, Charlotte Bendiks, Schockglatze",Volksbühne,/events/889703,23
Hektik [ Surrender November ],2016-11-04T00:00:00.000,2016-11-04T22:00:00.000,2016-11-05T05:00:00.000,"Bosha, Georg Hekt",Repeat,/events/890067,23
Wer Liebt Süss,2016-11-04T00:00:00.000,2016-11-04T22:00:00.000,2016-11-05T09:00:00.000,"Frank Donner, Annders, Hamish Radford",Süss War Gestern,/events/895586,20
Klunking For Mental Health,2016-11-04T00:00:00.000,2016-11-04T16:00:00.000,2016-11-05T02:00:00.000,"DJ Hp76, My Friend Bob Sacamano, Tom Bolas",Klunkerkranich,/events/889925,18
"Bambule.Berlin mit Groej, Jans3n & Oaky",2016-11-04T00:00:00.000,2016-11-04T19:00:00.000,2016-11-05T07:00:00.000,Oaky,Minimal Bar,/events/891440,18
Heinz Music with Andreas Henneberg / Peter G. / Dimo Kyrmanidis / Marcus Meinhardt,2016-11-04T00:00:00.000,2016-11-04T23:59:00.000,2016-11-05T12:00:00.000,"Dimo Kyrmanidis, Andreas Henneberg, Marcus Meinhardt",Kater Blau,/events/893877,18
