Event name,Date,Start Time,End Time,Artists,Venue,Event URL,Number of guests attending
go.Play mit Benjamin Fehr,2022-02-01T00:00:00.000,2022-02-01T18:00:00.000,2022-02-02T04:00:00.000,Benjamin Fehr,Minimal Bar,/events/1496699,3
Mittendrin mit Kat Kat Tat,2022-02-02T00:00:00.000,2022-02-02T18:00:00.000,2022-02-03T04:00:00.000,Kat Kat Tat,Minimal Bar,/events/1496706,5
REFLEXIONEN,2022-02-02T00:00:00.000,2022-02-02T19:00:00.000,2022-02-02T23:30:00.000,,Loophole,/events/1497938,0
The Unknown,2022-02-03T00:00:00.000,2022-02-03T22:00:00.000,2022-02-04T02:00:00.000,"Carl Bergé, Pauly",Zu Mir Oder Zu Dir,/events/1494459,20
Electronic.Thursday mit Rafamarkez Aka Sinev,2022-02-03T00:00:00.000,2022-02-03T18:00:00.000,2022-02-04T05:00:00.000,,Minimal Bar,/events/1496741,2
Visitor.Area mit Simonk & Friends,2022-02-04T00:00:00.000,2022-02-04T18:00:00.000,2022-02-05T06:00:00.000,,Minimal Bar,/events/1498056,11
Klein,2022-02-04T00:00:00.000,2022-02-04T20:00:00.000,2022-02-04T21:30:00.000,"Klein, Jawnino",Volksbühne,/events/1493945,7
Egregor - Performative Ritual,2022-02-04T00:00:00.000,2022-02-04T19:00:00.000,2022-02-05T00:00:00.000,,MaHalla,/events/1498121,2
Unser WochenEnde im Promenaden Eck,2022-02-04T00:00:00.000,2022-02-04T19:00:00.000,2022-02-06T06:00:00.000,"justUS, Chris Plettenberg",Promenaden Eck,/events/1499174,0
CTM 2022: Fronte Vacuo – »Humane Methods [ΣXHALE]«,2022-02-05T00:00:00.000,2022-02-05T18:00:00.000,2022-02-06T22:00:00.000,,Radialsystem,/events/1489271,13
memory dance,2022-02-05T00:00:00.000,2022-02-05T23:00:00.000,2022-02-06T06:00:00.000,"Sauvage World, Lorenzo De Midici",Crack Bellmer,/events/1498537,3
Otrantos.Music.Zone mit Bruno Otranto & Friends,2022-02-05T00:00:00.000,2022-02-05T18:00:00.000,2022-02-06T06:00:00.000,Bruno Otranto,Minimal Bar,/events/1498060,3
HIJACK Crack Bellmer,2022-02-05T00:00:00.000,2022-02-05T21:00:00.000,2022-02-06T05:00:00.000,"Osterlund, Paradise Architects",Crack Bellmer,/events/1499384,2
Winter Workshops: An Introduction to Spatial Sound,2022-02-05T00:00:00.000,2022-02-05T10:00:00.000,2022-02-05T18:00:00.000,,MONOM,/events/1497424,2
Unser WochenEnde im Promenaden Eck,2022-02-04T00:00:00.000,2022-02-04T19:00:00.000,2022-02-06T06:00:00.000,"justUS, Chris Plettenberg",Promenaden Eck,/events/1499174,0
Unser Samstag im Promenaden Eck,2022-02-05T00:00:00.000,2022-02-05T19:00:00.000,2022-02-06T06:00:00.000,,Promenaden Eck,/events/1499176,0
singularity,2022-02-05T00:00:00.000,2022-02-05T23:00:00.000,2022-02-06T06:00:00.000,,Re:mise,/events/1499649,0
BalearicFreaks,2022-02-05T00:00:00.000,2022-02-05T21:00:00.000,2022-02-06T06:00:00.000,"Dennis Beutler, Chris El Raton",Old CCCP,/events/1498090,0
[CANCELED] X By Room Trax,2022-02-05T00:00:00.000,2022-02-05T21:00:00.000,2022-02-06T12:00:00.000,"Alexandre Laeddis, Angioma, ASEC, BLANKA",Anomalie Art Club,/events/1489157,42
CTM 2022: Fronte Vacuo – »Humane Methods [ΣXHALE]«,2022-02-05T00:00:00.000,2022-02-05T18:00:00.000,2022-02-06T22:00:00.000,,Radialsystem,/events/1489271,13
Community presents: Cruel Winter,2022-02-06T00:00:00.000,2022-02-06T18:00:00.000,2022-02-07T01:00:00.000,AKA Kelzz,Repeat,/events/1492612,4
Lazy.Sunday mit Pablo Cornejo (Chile),2022-02-06T00:00:00.000,2022-02-06T18:00:00.000,2022-02-07T04:00:00.000,Pablo Cornejo,Minimal Bar,/events/1498067,3
Manic.Monday mit Deniz Arslan,2022-02-07T00:00:00.000,2022-02-07T18:00:00.000,2022-02-08T04:00:00.000,,Minimal Bar,/events/1496693,7
go.Play mit Isaac Elejalde und Hypnoize,2022-02-08T00:00:00.000,2022-02-08T18:00:00.000,2022-02-09T04:00:00.000,"Isaac Elejalde, Hypnoize",Minimal Bar,/events/1496702,2
Mittendrin mit Clemente (CH),2022-02-09T00:00:00.000,2022-02-09T18:00:00.000,2022-02-10T04:00:00.000,,Minimal Bar,/events/1496708,1
Flaaryr // Moonlight & Guest,2022-02-09T00:00:00.000,2022-02-09T19:00:00.000,2022-02-09T23:59:00.000,Flaaryr,Loophole,/events/1499820,0
Studio with Esko and Sciarada,2022-02-10T00:00:00.000,2022-02-10T18:00:00.000,2022-02-11T05:00:00.000,"Tempestfeather, Sciarada, Esko",Minimal Bar,/events/1492280,29
The Unknown,2022-02-10T00:00:00.000,2022-02-10T22:00:00.000,2022-02-11T02:00:00.000,Mia Mangata,Zu Mir Oder Zu Dir,/events/1495890,18
Lily Ackerman on Hör Radio,2022-02-10T00:00:00.000,2022-02-10T20:00:00.000,2022-02-10T21:00:00.000,Lily Ackerman,HÖR Berlin,/events/1500532,0
Live from the window: Fonte,2022-02-10T00:00:00.000,2022-02-10T19:00:00.000,2022-02-10T22:00:00.000,Fonte,Motif Wein,/events/1500799,0
Rausch # 02,2022-02-11T00:00:00.000,2022-02-11T22:30:00.000,2022-02-12T10:00:00.000,"KUSS, Slowfoam, BARBE, Rover",Backsteinboot,/events/1497237,26
Flashback Friday! The kinky 90's-00's Party,2022-02-11T00:00:00.000,2022-02-11T22:00:00.000,2022-02-13T05:00:00.000,,Insomnia,/events/1498719,5
Bambule.Berlin mit Oaky & Ian Fog,2022-02-11T00:00:00.000,2022-02-11T18:00:00.000,2022-02-12T06:00:00.000,Oaky,Minimal Bar,/events/1498057,4
Anika,2022-02-11T00:00:00.000,2022-02-11T21:00:00.000,2022-02-11T22:30:00.000,,Volksbühne,/events/1497064,1
Unser Freitag im Promenaden Eck,2022-02-11T00:00:00.000,2022-02-11T19:00:00.000,2022-02-12T06:00:00.000,,Promenaden Eck,/events/1500392,0
Disco Delirium,2022-02-11T00:00:00.000,2022-02-11T22:00:00.000,2022-02-12T05:00:00.000,,Crack Bellmer,/events/1500475,0
Stranger Funk: Let's Talk About Wax with End80s and J-Star,2022-02-11T00:00:00.000,2022-02-11T20:00:00.000,2022-02-12T04:00:00.000,,Panke,/events/1500578,0
Live From The Window: Umberto & Tsu,2022-02-11T00:00:00.000,2022-02-11T19:00:00.000,2022-02-11T23:00:00.000,Umberto,Motif Wein,/events/1500801,0
Retro Dance A,2022-02-12T00:00:00.000,2022-02-12T20:00:00.000,2022-02-13T05:00:00.000,"Mauro Feola, Giomecca, Nhouse",Minimal Bar,/events/1496636,34
Hedomanie - Hedonistic Non-Dance Party,2022-02-12T00:00:00.000,2022-02-12T22:00:00.000,2022-02-13T07:00:00.000,"ALXJ, vom Feisten, Wiebe Roose",Insomnia,/events/1499748,29
The Rebirth Series (Covered / Heated / 2G+ Tested),2022-02-12T00:00:00.000,2022-02-12T22:00:00.000,2022-02-13T12:00:00.000,"Match Hoffman, ABuDi",H13 Kulturpark,/events/1501073,20
NIX MIT DISCO,2022-02-12T00:00:00.000,2022-02-12T22:30:00.000,2022-02-13T04:00:00.000,"Maltitz, Ion Vulcan",Loophole,/events/1500850,10
Chemistry Club with Appleblim,2022-02-12T00:00:00.000,2022-02-12T21:00:00.000,2022-02-13T06:00:00.000,,Zum Böhmischen Dorf,/events/1501364,6
Flashback Friday! The kinky 90's-00's Party,2022-02-11T00:00:00.000,2022-02-11T22:00:00.000,2022-02-13T05:00:00.000,,Insomnia,/events/1498719,5
Winter Workshops: An Introduction to Spatial Sound,2022-02-12T00:00:00.000,2022-02-12T10:00:00.000,2022-02-12T18:00:00.000,,MONOM,/events/1497440,5
