Event name,Date,Start Time,End Time,Artists,Venue,Event URL,Number of guests attending
AWAY x Studio Barnhus,2022-07-01T00:00:00.000,2022-07-01T22:00:00.000,2022-07-04T06:00:00.000,"Axel Boman, Move D, Kornél Kovács, Pedrodollar, Bella Boo, Jasper James, Aril Brikha, Jus-Ed, Mark Broom, Discrete Circuit, Damiano von Erckert, Marylou, Natascha Kann, Denise Bauer, Angie Taylor, Paul Lynch, Majirel, Mary Yuzovskaya, Carmen Electro, AAGUU",://about blank,/events/1539910,872
Deestricted,2022-07-01T00:00:00.000,2022-07-01T23:00:00.000,2022-07-02T12:00:00.000,"ØTTA, Volruptus, CAIVA, Elios, KamavoSian, Keith Carnal, Metaraph, Omon Breaker, Vera Grace, Vixen, WNDRLST",Anomalie Art Club,/events/1515165,585
Gegen Power,2022-07-01T00:00:00.000,2022-07-01T22:00:00.000,2022-07-02T09:00:00.000,"Alessandro Nero, Brayan Valenzuela, Cristian Marras, DASCO, Eve Schwarz, La Schmock, Lucy, Swarm Intelligence, UVB, Wanton Witch, Xiorro, YA Z AN",KitKatClub,/events/1548568,458
Candyflip with CLTX & Opostion,2022-07-01T00:00:00.000,2022-07-01T22:00:00.000,2022-07-02T12:00:00.000,"CLTX, OPOSITION, Alex Friday, Daniela Hensel, Ephy Pinkman, KlingundKlang, Balkhausen, OTG(1), saeuer, Zoé-Vita",OST,/events/1551633,363
"Birgits Weekender with Boy Next Door, Maurice Mino, Peer Kusiv, DJ Lion, Luis Hill, uvm",2022-07-01T00:00:00.000,2022-07-01T22:00:00.000,2022-07-03T22:00:00.000,"Annina, Papa K, Maurice Mino, Boy Next Door, Daniel Kirchner, Alex Knapp, Edgar Peng, Bee Lincoln, DJ Lion, Mikka, Pascale Voltaire, Herr Locher, Dr. Chimpanzee, Martin Dacar, ma.ksim, Anna Schreit, Luis Hill",Birgit,/events/1552183,236
capsule x Jerry Horny,2022-07-01T00:00:00.000,2022-07-01T23:00:00.000,2022-07-02T07:00:00.000,"Von Riu, Maté, Dangermami, Ponyo, HEDDA",Fitzroy,/events/1541623,173
Mother's Finest Weekender,2022-07-01T00:00:00.000,2022-07-01T23:59:00.000,2022-07-03T08:00:00.000,"DJ Bone, Batu, Hodge, Krust, Darwin, MSJY, Jesse G, O.N.A, Elke, Nasty King Kurl, Franklin De Costa",OXI,/events/1548967,148
PAN,2022-07-01T00:00:00.000,2022-07-01T22:00:00.000,2022-07-02T08:00:00.000,"Bambii, Bill Kouligas, Kamixlo, Objekt, Rosa Pistola, S-candalo, THC",Berghain | Panorama Bar | Säule,/events/1545341,139
Tresor Meets Sonic Groove,2022-07-01T00:00:00.000,2022-07-01T23:59:00.000,2022-07-02T12:00:00.000,"Dasha Rush, Frankie Bones, itako, Adam X, Crystal Geometry, MAEDON, Max Durante",Tresor / Globus,/events/1541883,105
Songs For Attunement (first show),2022-07-01T00:00:00.000,2022-07-01T19:00:00.000,2022-07-02T22:00:00.000,"Iceboy Violet, Colin Self, Golin",Trauma Bar und Kino,/events/1547402,75
"Hyper Real w/ Arnii, BLK SLK,Kahn & Neek, Nsasi and Opium Hum",2022-07-01T00:00:00.000,2022-07-01T23:59:00.000,2022-07-02T10:00:00.000,"Arnii, BLK SLK, Kahn, Neek, Nsasi, Opium Hum",RSO.BERLIN,/events/1550782,64
"Freitag with Christopher Rau, Sciahri, Pooja B, Black Eyes",2022-07-01T00:00:00.000,2022-07-01T23:00:00.000,2022-07-02T12:00:00.000,"Black Eyes, Christopher Rau, Jacques Bon, Pooja B, Sciahri, Soela",Renate,/events/1551659,63
Techno Traum w / DJ Emerson [ Micro.fon - Kap1tl ],2022-07-01T00:00:00.000,2022-07-01T22:30:00.000,2022-07-02T07:00:00.000,"DJ Emerson, Katapult Duo, Loris D'Ettorre, Kobzev, Skinny Duchamp",Christa Kupfer,/events/1546559,57
Borderless Pres. Berlin X Korea,2022-07-01T00:00:00.000,2022-07-01T23:00:00.000,2022-07-02T10:00:00.000,"Whatisyourlastname, iamkimkong, Sun Gin, Yunhee",AVA Club,/events/1542960,53
SYXTSRS 10pm Opening,2022-07-01T00:00:00.000,2022-07-01T22:00:00.000,2022-07-02T11:00:00.000,"Arkan, WINDFUHR, Lyric, future.666, slin, Pino Peña, KETCH, laserdong, Lask",Lokschuppen Berlin,/events/1542224,47
Techno ihr Hasen,2022-07-01T00:00:00.000,2022-07-01T23:00:00.000,2022-07-02T10:00:00.000,"deKai, eliXenia, DJ Doorkeeper, Don Tom",Der Weiße Hase,/events/1550405,49
"The Checkup & Friends: Maze, BRUNA, Aria Santillana",2022-07-01T00:00:00.000,2022-07-01T23:00:00.000,2022-07-02T06:00:00.000,"Maze DJ, Maze & Masters, The Checkup, Bruna N., Aria Santillana",Bulbul Berlin,/events/1537709,35
Æ: Machine Hours II,2022-07-01T00:00:00.000,2022-07-01T23:00:00.000,2022-07-02T10:00:00.000,"Kim She, Janzon, Projekt Gestalten, ONIT",ÆDEN,/events/1523343,35
Ataraxia,2022-07-01T00:00:00.000,2022-07-01T23:00:00.000,2022-07-02T07:00:00.000,"los.co, Daddy Short Leg, Sammy Kirsch, CLMNS, Decorator43",Void Club,/events/1549478,32
KATERBLAU präsentiert 39 STUNDEN NONSTOP,2022-07-01T00:00:00.000,2022-07-01T23:59:00.000,2022-07-03T15:00:00.000,"Sascha Cawa, Re.You, SIS, Mona Moore, Sooma, Stan Starry, AMO, Gunnar Stiller, ELIZEN THE EMPEROR, Ring & Dorf, Lopal, Detmolt, Marcus Meinhardt, Paul Traeumer, Joseph Ashworth, Noirnor, Martin Ka, MonoAbe, Yanakuna, Janoma",Kater Blau,/events/1550127,32
Thomas Schumacher & Anna Reusch at Garten der Nacht,2022-07-01T00:00:00.000,2022-07-01T22:00:00.000,2022-07-02T07:00:00.000,"Thomas Schumacher, Anna Reusch, A.D.H.S.",Ritter Butzke,/events/1545197,28
Paloma Invites Tereza & Rydim,2022-07-01T00:00:00.000,2022-07-01T23:00:00.000,2022-07-02T07:00:00.000,"Tereza, Rydim",Paloma,/events/1547447,28
KWAITOur X SWAK,2022-07-01T00:00:00.000,2022-07-01T23:59:00.000,2022-07-02T08:00:00.000,"Nico Adomako, Pierre-Estienne, Anele",OHM,/events/1542433,25
Marek Hemmann (live) at Kulturgarten Open Air,2022-07-01T00:00:00.000,2022-07-01T18:00:00.000,2022-07-01T22:00:00.000,"Marek Hemmann, Svensøn",Ritter Butzke,/events/1545168,21
