Event name,Date,Start Time,End Time,Artists,Venue,Event URL,Number of guests attending
"Eric Cloutier, Monty Luke, Pablo Bozzi, XDB",2021-10-01T00:00:00.000,2021-10-01T22:00:00.000,2021-10-02T10:00:00.000,"Andrew Claristidge, Eric Cloutier, Markus Suckut, Monty Luke, Onirik, Paula Koski, Pablo Bozzi, XDB",Renate,/events/1467432,841
Hunee by the Lake,2021-10-01T00:00:00.000,2021-10-01T12:00:00.000,2021-10-01T20:00:00.000,"Hunee, Laura de Vasconcelos",Plötze,/events/1464454,265
"Brvtalist presents Crystal Geometry (Live), Salome, Pelin Vedis, Melanie Havens, Lissa",2021-10-01T00:00:00.000,2021-10-01T23:00:00.000,2021-10-02T10:00:00.000,"Melanie Havens, Crystal Geometry, SALOME, Pelin Vedis, The Brvtalist",Lokschuppen Berlin,/events/1466347,263
"Æ Freitag: KiNK, Harrison BDP, Miguel Chafirovitch",2021-10-01T00:00:00.000,2021-10-01T22:00:00.000,2021-10-02T06:00:00.000,"KiNK, Harrison BDP, Miguel Chafirovitch",ÆDEN,/events/1464643,229
Libertine Records Invites Alienata & Reka,2021-10-01T00:00:00.000,2021-10-01T23:00:00.000,2021-10-02T09:00:00.000,"Alienata, Reka, Sbri, Yoshi (DE)",TBA - Berlin,/events/1462090,202
Gegen Consequence,2021-10-01T00:00:00.000,2021-10-01T22:00:00.000,2021-10-02T09:00:00.000,"2XNI, Ayako Mori, Cristian Marras, DASCO, Dominik Müller, Esther Duijn, La Schmock, Lady Maru, Martina S., Mike Starr, Non Reversible, OCD, Oliver Deutschmann",KitKatClub,/events/1467574,188
OG Psytrance x DnB Rave 02 (2G),2021-10-01T00:00:00.000,2021-10-01T21:00:00.000,2021-10-02T05:00:00.000,"Mad Hattress, Yami, Just Mo, ABuDi",Jockel Biergarten,/events/1465895,154
Silent Noise,2021-10-01T00:00:00.000,2021-10-01T22:00:00.000,2021-10-02T10:00:00.000,"ELLLL, Arkan, Oktobr, Casual Treatment, TEHOTU, Deluka, Decka, BB Deng, Elis, i_dancewithdevil",Anomalie Art Club,/events/1465688,112
Æ Live: Henrik Schwarz,2021-10-01T00:00:00.000,2021-10-01T19:00:00.000,2021-10-01T22:00:00.000,Henrik Schwarz,ÆDEN,/events/1466895,110
Birgits Clubnight with Alex Stein & More,2021-10-01T00:00:00.000,2021-10-01T22:00:00.000,2021-10-02T09:00:00.000,"Alex Stein, BOHO, Daniele Di Martino, Stefan Biniak",Birgit,/events/1467705,97
Moonlight by Widows Collective,2021-10-01T00:00:00.000,2021-10-01T22:00:00.000,2021-10-02T06:00:00.000,"Antonia XM, NURSE3D, Oliotronix, t0ni, LINNÉA, Dj Hot Bitch, Yulav",Kulturhaus Kili,/events/1463974,93
System Error,2021-10-01T00:00:00.000,2021-10-01T22:00:00.000,2021-10-02T12:00:00.000,"Anthea, Velasco, SHAQUE, Locky Mazzucchelli, Thorgerdur Johanna, A:G, robbin",Hoppetosse,/events/1466159,68
